F311	Schema definition statement	04	CREATE VIEW: WITH CHECK OPTION	YES	\N	
F311	Schema definition statement	05	GRANT statement	YES	\N	
F312	MERGE statement			YES	\N	
F313	Enhanced MERGE statement			YES	\N	
F314	MERGE statement with DELETE branch			YES	\N	
F321	User authorization			YES	\N	
F341	Usage tables			YES	\N	
F361	Subprogram support			YES	\N	
F381	Extended schema manipulation			YES	\N	
F382	Alter column data type			YES	\N	
F383	Set column not null clause			YES	\N	
F384	Drop identity property clause			YES	\N	
F385	Drop column generation expression clause			YES	\N	
F386	Set identity column generation clause			YES	\N	
F387	ALTER TABLE statement: ALTER COLUMN clause			YES	\N	
F388	ALTER TABLE statement: ADD/DROP CONSTRAINT clause			YES	\N	
F391	Long identifiers			YES	\N	
F392	Unicode escapes in identifiers			YES	\N	
F393	Unicode escapes in literals			YES	\N	
F394	Optional normal form specification			YES	\N	
F401	Extended joined table			YES	\N	
F402	Named column joins for LOBs, arrays, and multisets			YES	\N	
F403	Partitioned join tables			NO	\N	
F404	Range variable for common column names			YES	\N	
F405	NATURAL JOIN			YES	\N	
F406	FULL OUTER JOIN			YES	\N	
F407	CROSS JOIN			YES	\N	
F411	Time zone specification			YES	\N	differences regarding literal interpretation
F421	National character			YES	\N	
F431	Read-only scrollable cursors			YES	\N	
F432	FETCH with explicit NEXT			YES	\N	
F433	FETCH FIRST			YES	\N	
F434	FETCH LAST			YES	\N	
F435	FETCH PRIOR			YES	\N	
F436	FETCH ABSOLUTE			YES	\N	
F437	FETCH RELATIVE			YES	\N	
F438	Scrollable cursors			YES	\N	
F441	Extended set function support			YES	\N	
F442	Mixed column references in set functions			YES	\N	
F451	Character set definition			NO	\N	
F461	Named character sets			NO	\N	
F471	Scalar subquery values			YES	\N	
F481	Expanded NULL predicate			YES	\N	
F491	Constraint management			YES	\N	
F492	Optional table constraint enforcement			YES	\N	except not-null constraints
F501	Features and conformance views			YES	\N	
F501	Features and conformance views	01	SQL_FEATURES view	YES	\N	
F501	Features and conformance views	02	SQL_SIZING view	YES	\N	
F502	Enhanced documentation tables			YES	\N	
F521	Assertions			NO	\N	
F531	Temporary tables			YES	\N	
F555	Enhanced seconds precision			YES	\N	
F561	Full value expressions			YES	\N	
F571	Truth value tests			YES	\N	
F591	Derived tables			YES	\N	
F611	Indicator data types			YES	\N	
F641	Row and table constructors			YES	\N	
F651	Catalog name qualifiers			YES	\N	
F661	Simple tables			YES	\N	
F671	Subqueries in CHECK constraints			NO	\N	intentionally omitted
F672	Retrospective CHECK constraints			YES	\N	
F673	Reads SQL-data routine invocations in CHECK constraints			NO	\N	
F690	Collation support			YES	\N	
F692	Extended collation support			YES	\N	
F693	SQL-session and client module collations			NO	\N	
F695	Translation support			NO	\N	
F696	Additional translation documentation			NO	\N	
F701	Referential update actions			YES	\N	
F711	ALTER domain			YES	\N	
F721	Deferrable constraints			NO	\N	foreign and unique keys only
F731	INSERT column privileges			YES	\N	
F741	Referential MATCH types			NO	\N	no partial match yet
F751	View CHECK enhancements			YES	\N	
F761	Session management			YES	\N	
F762	CURRENT_CATALOG			YES	\N	
F763	CURRENT_SCHEMA			YES	\N	
F771	Connection management			YES	\N	
F781	Self-referencing operations			YES	\N	
F791	Insensitive cursors			YES	\N	
F801	Full set function			YES	\N	
F812	Basic flagging			NO	\N	
F813	Extended flagging			NO	\N	
F821	Local table references			NO	\N	
F831	Full cursor update			NO	\N	
F832	Updatable scrollable cursors			NO	\N	
F833	Updatable ordered cursors			NO	\N	
F841	LIKE_REGEX predicate			NO	\N	consider regexp_like()
F842	OCCURRENCES_REGEX function			NO	\N	consider regexp_matches()
F843	POSITION_REGEX function			NO	\N	consider regexp_instr()
F844	SUBSTRING_REGEX function			NO	\N	consider regexp_substr()
F845	TRANSLATE_REGEX function			NO	\N	consider regexp_replace()
F846	Octet support in regular expression operators			NO	\N	
F847	Non-constant regular expressions			NO	\N	
F850	Top-level ORDER BY in query expression			YES	\N	
F851	ORDER BY in subqueries			YES	\N	
F852	Top-level ORDER BY in views			YES	\N	
F855	Nested ORDER BY in query expression			YES	\N	
F856	Nested FETCH FIRST in query expression			YES	\N	
F857	Top-level FETCH FIRST in query expression			YES	\N	
F858	FETCH FIRST in subqueries			YES	\N	
F859	Top-level FETCH FIRST in views			YES	\N	
F860	Dynamic FETCH FIRST row count			YES	\N	
F861	Top-level OFFSET in query expression			YES	\N	
F862	OFFSET in subqueries			YES	\N	
F863	Nested OFFSET in query expression			YES	\N	
F864	Top-level OFFSET in views			YES	\N	
F865	Dynamic offset row count in OFFSET			YES	\N	
F866	FETCH FIRST clause: PERCENT option			NO	\N	
F867	FETCH FIRST clause: WITH TIES option			YES	\N	
F868	ORDER BY in grouped table			YES	\N	
F869	SQL implementation info population			YES	\N	
R010	Row pattern recognition: FROM clause			NO	\N	
R020	Row pattern recognition: WINDOW clause			NO	\N	
R030	Row pattern recognition: full aggregate support			NO	\N	
S011	Distinct data types			NO	\N	
S011	Distinct data types	01	USER_DEFINED_TYPES view	NO	\N	
S023	Basic structured types			NO	\N	
S024	Enhanced structured types			NO	\N	
S025	Final structured types			NO	\N	
S026	Self-referencing structured types			NO	\N	
S027	Create method by specific method name			NO	\N	
S028	Permutable UDT options list			NO	\N	
S041	Basic reference types			NO	\N	
S043	Enhanced reference types			NO	\N	
S051	Create table of type			NO	\N	partially supported
S071	SQL paths in function and type name resolution			YES	\N	
S081	Subtables			NO	\N	
S090	Minimal array support			YES	\N	
S091	Basic array support			NO	\N	partially supported
S092	Arrays of user-defined types			YES	\N	
S093	Arrays of distinct types			NO	\N	
S094	Arrays of reference types			NO	\N	
S095	Array constructors by query			YES	\N	
S096	Optional array bounds			YES	\N	
S097	Array element assignment			NO	\N	
S098	ARRAY_AGG			YES	\N	
S099	Array expressions			YES	\N	
S111	ONLY in query expressions			YES	\N	
S151	Type predicate			NO	\N	see pg_typeof()
S161	Subtype treatment			NO	\N	
S162	Subtype treatment for references			NO	\N	
S201	SQL-invoked routines on arrays			YES	\N	
S202	SQL-invoked routines on multisets			NO	\N	
S203	Array parameters			YES	\N	
S204	Array as result type of functions			YES	\N	
S211	User-defined cast functions			YES	\N	
S231	Structured type locators			NO	\N	
S232	Array locators			NO	\N	
S233	Multiset locators			NO	\N	
S241	Transform functions			NO	\N	
S242	Alter transform statement			NO	\N	
S251	User-defined orderings			NO	\N	
S261	Specific type method			NO	\N	
S271	Basic multiset support			NO	\N	
S272	Multisets of user-defined types			NO	\N	
S274	Multisets of reference types			NO	\N	
S275	Advanced multiset support			NO	\N	
S281	Nested collection types			NO	\N	
S291	Unique constraint on entire row			NO	\N	
S301	Enhanced UNNEST			YES	\N	
S401	Distinct types based on array types			NO	\N	
S402	Distinct types based on multiset types			NO	\N	
S403	ARRAY_MAX_CARDINALITY			NO	\N	
S404	TRIM_ARRAY			YES	\N	
T011	Timestamp in Information Schema			NO	\N	
T021	BINARY and VARBINARY data types			NO	\N	
T022	Advanced support for BINARY and VARBINARY data types			NO	\N	
T023	Compound binary literals			NO	\N	
T024	Spaces in binary literals			NO	\N	
T031	BOOLEAN data type			YES	\N	
T039	CLOB locator: non-holdable			NO	\N	
T040	Concatenation of CLOBs			NO	\N	
T041	Basic LOB data type support			NO	\N	
T042	Extended LOB data type support			NO	\N	
T043	Multiplier T			NO	\N	
T044	Multiplier P			NO	\N	
T045	BLOB data type			NO	\N	
T046	CLOB data type			NO	\N	
T047	POSITION, OCTET_LENGTH, TRIM, and SUBSTRING for BLOBs			NO	\N	
T048	Concatenation of BLOBs			NO	\N	
T049	BLOB locator: non-holdable			NO	\N	
T050	POSITION, CHAR_LENGTH, OCTET_LENGTH, LOWER, TRIM, UPPER, and SUBSTRING for CLOBs			NO	\N	
T051	Row types			NO	\N	
T053	Explicit aliases for all-fields reference			NO	\N	
T054	GREATEST and LEAST			YES	\N	different null handling
T055	String padding functions			YES	\N	
T056	Multi-character TRIM functions			YES	\N	
T061	UCS support			YES	\N	
T062	Character length units			NO	\N	
T071	BIGINT data type			YES	\N	
T076	DECFLOAT data type			NO	\N	
T081	Optional string types maximum length			YES	\N	
T101	Enhanced nullability determination			NO	\N	
T111	Updatable joins, unions, and columns			NO	\N	
T121	WITH (excluding RECURSIVE) in query expression			YES	\N	
T122	WITH (excluding RECURSIVE) in subquery			YES	\N	
T131	Recursive query			YES	\N	
T132	Recursive query in subquery			YES	\N	
T133	Enhanced cycle mark values			YES	\N	
T141	SIMILAR predicate			YES	\N	
T151	DISTINCT predicate			YES	\N	
T152	DISTINCT predicate with negation			YES	\N	
T171	LIKE clause in table definition			YES	\N	
T172	AS subquery clause in table definition			YES	\N	
T173	Extended LIKE clause in table definition			YES	\N	
T174	Identity columns			YES	\N	
T175	Generated columns			NO	\N	mostly supported
T176	Sequence generator support			NO	\N	supported except for NEXT VALUE FOR
T177	Sequence generator support: simple restart option			YES	\N	
T178	Identity columns: simple restart option			YES	\N	
T180	System-versioned tables			NO	\N	
T181	Application-time period tables			NO	\N	
T191	Referential action RESTRICT			YES	\N	
T200	Trigger DDL			NO	\N	similar but not fully compatible
T201	Comparable data types for referential constraints			YES	\N	
T211	Basic trigger capability			NO	\N	
T212	Enhanced trigger capability			YES	\N	
T213	INSTEAD OF triggers			YES	\N	
T214	BEFORE triggers			YES	\N	
T215	AFTER triggers			YES	\N	
T216	Ability to require true search condition before trigger is invoked			YES	\N	
T217	TRIGGER privilege			YES	\N	
T218	Multiple triggers for the same event executed in the order created			NO	\N	intentionally omitted
T231	Sensitive cursors			NO	\N	
T241	START TRANSACTION statement			YES	\N	
T251	SET TRANSACTION statement: LOCAL option			NO	\N	
T261	Chained transactions			YES	\N	
T262	Multiple server transactions			NO	\N	
T271	Savepoints			YES	\N	
T272	Enhanced savepoint management			NO	\N	
T281	SELECT privilege with column granularity			YES	\N	
T285	Enhanced derived column names			YES	\N	
T301	Functional dependencies			NO	\N	partially supported
T312	OVERLAY function			YES	\N	
T321	Basic SQL-invoked routines			NO	\N	partially supported
T321	Basic SQL-invoked routines	01	User-defined functions with no overloading	YES	\N	
T321	Basic SQL-invoked routines	02	User-defined stored procedures with no overloading	YES	\N	
T321	Basic SQL-invoked routines	03	Function invocation	YES	\N	
T321	Basic SQL-invoked routines	04	CALL statement	YES	\N	
T321	Basic SQL-invoked routines	05	RETURN statement	YES	\N	
T321	Basic SQL-invoked routines	06	ROUTINES view	YES	\N	
T321	Basic SQL-invoked routines	07	PARAMETERS view	YES	\N	
T322	Declared data type attributes			NO	\N	
T323	Explicit security for external routines			YES	\N	
T324	Explicit security for SQL routines			NO	\N	
T325	Qualified SQL parameter references			YES	\N	
T326	Table functions			NO	\N	
T331	Basic roles			YES	\N	
T332	Extended roles			YES	\N	
T341	Overloading of SQL-invoked functions and SQL-invoked procedures			YES	\N	
T351	Bracketed comments			YES	\N	
T431	Extended grouping capabilities			YES	\N	
T432	Nested and concatenated GROUPING SETS			YES	\N	
T433	Multi-argument GROUPING function			YES	\N	
T434	GROUP BY DISTINCT			YES	\N	
T441	ABS and MOD functions			YES	\N	
T461	Symmetric BETWEEN predicate			YES	\N	
T471	Result sets return value			NO	\N	
T472	DESCRIBE CURSOR			NO	\N	
T491	LATERAL derived table			YES	\N	
T495	Combined data change and retrieval			NO	\N	different syntax
T501	Enhanced EXISTS predicate			YES	\N	
T502	Period predicates			NO	\N	
T511	Transaction counts			NO	\N	
T521	Named arguments in CALL statement			YES	\N	
T522	Default values for IN parameters of SQL-invoked procedures			NO	\N	supported except DEFAULT key word in invocation
T523	Default values for INOUT parameters of SQL-invoked procedures			YES	\N	
T524	Named arguments in routine invocations other than a CALL statement			YES	\N	
T525	Default values for parameters of SQL-invoked functions			YES	\N	
T551	Optional key words for default syntax			YES	\N	
T561	Holdable locators			NO	\N	
T571	Array-returning external SQL-invoked functions			NO	\N	
T572	Multiset-returning external SQL-invoked functions			NO	\N	
T581	Regular expression substring function			YES	\N	
T591	UNIQUE constraints of possibly null columns			YES	\N	
T601	Local cursor references			NO	\N	
T611	Elementary OLAP operations			YES	\N	
T612	Advanced OLAP operations			YES	\N	
T613	Sampling			YES	\N	
T614	NTILE function			YES	\N	
T615	LEAD and LAG functions			YES	\N	
T616	Null treatment option for LEAD and LAG functions			NO	\N	
T617	FIRST_VALUE and LAST_VALUE functions			YES	\N	
T618	NTH_VALUE function			NO	\N	function exists, but some options missing
T619	Nested window functions			NO	\N	
T620	WINDOW clause: GROUPS option			YES	\N	
T621	Enhanced numeric functions			YES	\N	
T622	Trigonometric functions			YES	\N	
T623	General logarithm functions			YES	\N	
T624	Common logarithm functions			YES	\N	
T625	LISTAGG			NO	\N	
T626	ANY_VALUE			YES	\N	
T627	Window framed COUNT DISTINCT			YES	\N	
T631	IN predicate with one list element			YES	\N	
T641	Multiple column assignment			NO	\N	only some syntax variants supported
T651	SQL-schema statements in SQL routines			YES	\N	
T652	SQL-dynamic statements in SQL routines			NO	\N	
T653	SQL-schema statements in external routines			YES	\N	
T654	SQL-dynamic statements in external routines			NO	\N	
T655	Cyclically dependent routines			YES	\N	
T661	Non-decimal integer literals			YES	\N	
T662	Underscores in numeric literals			YES	\N	
T670	Schema and data statement mixing			YES	\N	
T801	JSON data type			NO	\N	
T802	Enhanced JSON data type			NO	\N	
T803	String-based JSON			YES	\N	
T811	Basic SQL/JSON constructor functions			YES	\N	
T812	SQL/JSON: JSON_OBJECTAGG			YES	\N	
T813	SQL/JSON: JSON_ARRAYAGG with ORDER BY			YES	\N	
T814	Colon in JSON_OBJECT or JSON_OBJECTAGG			YES	\N	
T821	Basic SQL/JSON query operators			YES	\N	
T822	SQL/JSON: IS JSON WITH UNIQUE KEYS predicate			YES	\N	
T823	SQL/JSON: PASSING clause			YES	\N	
T824	JSON_TABLE: specific PLAN clause			NO	\N	
T825	SQL/JSON: ON EMPTY and ON ERROR clauses			YES	\N	
T826	General value expression in ON ERROR or ON EMPTY clauses			YES	\N	
T827	JSON_TABLE: sibling NESTED COLUMNS clauses			YES	\N	
T828	JSON_QUERY			YES	\N	
T829	JSON_QUERY: array wrapper options			YES	\N	
T830	Enforcing unique keys in SQL/JSON constructor functions			YES	\N	
T831	SQL/JSON path language: strict mode			YES	\N	
T832	SQL/JSON path language: item method			YES	\N	
T833	SQL/JSON path language: multiple subscripts			YES	\N	
T834	SQL/JSON path language: wildcard member accessor			YES	\N	
T835	SQL/JSON path language: filter expressions			YES	\N	
T836	SQL/JSON path language: starts with predicate			YES	\N	
T837	SQL/JSON path language: regex_like predicate			YES	\N	
T838	JSON_TABLE: PLAN DEFAULT clause			NO	\N	
T839	Formatted cast of datetimes to/from character strings			NO	\N	
T840	Hex integer literals in SQL/JSON path language			YES	\N	
T851	SQL/JSON: optional keywords for default syntax			YES	\N	
T860	SQL/JSON simplified accessor: column reference only			NO	\N	
