Category (Major),Sub-Category (Medium),Feature/Detail (Minor),Status,Notes / Design Decision
Wire Protocol,Termination,Terminate (X),implemented,
Wire Protocol,SSL Encryption,SSLRequest -> S/N byte -> SSL handshake,,
Wire Protocol,GSSAPI Encryption,GSSENCRequest -> G/N byte -> gss_init_sec_context,,
Wire Protocol,Streaming Replication,IDENTIFY_SYSTEM (systemid/timeline/xlogpos/dbname),implemented,
Wire Protocol,Streaming Replication,START_REPLICATION PHYSICAL (CopyBoth WAL stream),implemented,
Wire Protocol,Streaming Replication,XLogData (w) / Primary keepalive (k) in CopyData,implemented,
Wire Protocol,Streaming Replication,Standby status update (r) / Hot standby feedback (h),,Hot standby feedback ('h') not implemented; standby status update ('r') implemented
Wire Protocol,Streaming Replication,CREATE_REPLICATION_SLOT / DROP_REPLICATION_SLOT,implemented,
Wire Protocol,Streaming Replication,BASE_BACKUP (tablespace/tar streaming),implemented,
Wire Protocol,Streaming Replication,TIMELINE_HISTORY / SHOW / READ_REPLICATION_SLOT,,
Wire Protocol,Logical Replication,START_REPLICATION SLOT x LOGICAL,implemented,
Wire Protocol,Logical Replication,pgoutput parameters (proto_version/publication_names/binary/streaming/two_phase/origin),implemented,
Wire Protocol,Logical Replication,Begin (B) / Commit (C) / Origin (O) / Relation (R) / Type (Y),implemented,
Wire Protocol,Logical Replication,Insert (I) / Update (U) / Delete (D) / Truncate (T),implemented,
Wire Protocol,Logical Replication,Message (M) logical decoding messages,,
Wire Protocol,Logical Replication,Stream Start/Stop/Commit/Abort (v2+),,
Wire Protocol,Logical Replication,Begin Prepare / Prepare / Commit Prepared / Rollback Prepared (v3+),,
Wire Protocol,Logical Replication,TupleData format (n=null / u=unchanged toast / t=text / b=binary),implemented,
Storage Engine,File Layout,Relation forks: main / _fsm / _vm / _init (separate files per fork),implemented,
Storage Engine,File Layout,Tablespace directory: PG_MAJORVER_CATVER / DB_OID / RELFILENODE,implemented,
Storage Engine,File Layout,Segment files (1GB per file / N.N suffix),,
Storage Engine,Page Layout,PageHeaderData (24 bytes): pd_lsn(8)/pd_checksum(2)/pd_flags(2)/pd_lower(2)/pd_upper(2)/pd_special(2)/pd_pagesize_version(2)/pd_prune_xid(4),implemented,
Storage Engine,Page Layout,ItemIdData (4 bytes per item): offset(15b)/length(15b)/flags(2b),implemented,
Storage Engine,Page Layout,Items (allocated from end of page) + Free space,implemented,
Storage Engine,Page Layout,Special space (AM-specific data),implemented,
Storage Engine,Page Layout,Default page size 8KB (BLCKSZ compile-time),implemented,
Storage Engine,Tuple Layout,HeapTupleHeaderData: t_xmin(4)/t_xmax(4)/t_cid(4)/t_xvac(4)/t_ctid(6)/t_infomask2(2)/t_infomask(2)/t_hoff(1) = 23 bytes,implemented,
Storage Engine,Tuple Layout,Null bitmap (after header / when HEAP_HASNULL set),implemented,
Storage Engine,Tuple Layout,varlena header: 4-byte length word with TOAST flag bits (2 high bits),implemented,
Storage Engine,Tuple Layout,Single-byte header for short values (<127 bytes),implemented,
Storage Engine,TOAST,TOAST table (chunk_id OID / chunk_seq int / chunk_data bytea),implemented,Goopg-native TOAST format (12-byte pointer) not PG 18-byte
Storage Engine,TOAST,TOAST pointer (18 bytes): table OID / chunk_id / sizes / compression method,,Goopg uses 12-byte pointer; PG 18-byte not implemented
Storage Engine,TOAST,Storage strategies: PLAIN / EXTENDED / EXTERNAL / MAIN,implemented,Only External vs non-External gating; no full strategy enum
Storage Engine,TOAST,TOAST_TUPLE_THRESHOLD (2KB) / TOAST_TUPLE_TARGET (adjustable),implemented,
Storage Engine,TOAST,TOAST_MAX_CHUNK_SIZE (~2000 bytes / 4 chunks per page),implemented,
Storage Engine,TOAST,In-memory TOAST: indirect pointers / expanded pointers (read-write and read-only),,
Storage Engine,TOAST,Compression methods: pglz / lz4 / zstd (per-column COMPRESSION option),,PGLZ implemented; LZ4/ZSTD metadata-only (not wired)
Storage Engine,Free Space Map,FSM tree structure (binary tree per FSM page),implemented,
Storage Engine,Free Space Map,1 byte per heap page in leaf FSM pages (0-255 free space),implemented,
Storage Engine,Free Space Map,FSM stored as _fsm fork,implemented,
Storage Engine,Visibility Map,2 bits per page: all-visible / all-frozen,implemented,ALL_VISIBLE implemented; ALL_FROZEN always 0
Storage Engine,Visibility Map,VM stored as _vm fork,implemented,
Storage Engine,Visibility Map,Used for index-only scans (check all-visible),implemented,
Storage Engine,HOT,Heap-Only Tuples (no index update when indexed cols unchanged),implemented,
Storage Engine,HOT,Redirect item pointer (LP_REDIRECT) to newest version,implemented,
Storage Engine,HOT,HOT pruning (remove dead intermediate versions),implemented,
Storage Engine,Initialization Fork,Init fork for unlogged relations (empty state after crash),,InitFork constant exists but no unlogged-reset code
WAL,WAL Format,XLogRecord header: xl_tot_len/xl_xid/xl_prev/xl_info/xl_rmid/xl_prev/xl_crc,implemented,
WAL,WAL Format,LSN (Log Sequence Number / byte offset in WAL),implemented,
WAL,WAL Format,WAL segment file (16MB default in pg_wal/),implemented,
WAL,WAL Format,WAL page (8KB default / BLCKSZ),implemented,
WAL,WAL Format,pg_control file (checkpoint LSN / state / timeline),implemented,
WAL,WAL Format,Full page writes (first modification after checkpoint),implemented,
WAL,WAL Operation,Checkpoint: write dirty buffers / update pg_control,implemented,
WAL,WAL Operation,REDO phase: read pg_control -> find checkpoint -> replay WAL forward,implemented,
WAL,WAL Operation,Resource Manager (built-in: Heap/Heap2/Btree/Hash/Gin/Gist/Sequence/etc.),,Core RMs (Heap Heap2 Btree Xact Storage CLOG Seq) implemented; Hash Gin Gist SPGist Brin refused at redo
WAL,Generic WAL,GenericXLogStart / RegisterBuffer / Finish (for extensions),,
WAL,Generic WAL,GENERIC_XLOG_FULL_IMAGE flag (full page vs delta),,
WAL,Custom WAL RMGR,RmgrData struct: rm_redo/rm_desc/rm_identify/rm_startup/rm_cleanup/rm_mask/rm_decode,,
WAL,Custom WAL RMGR,RegisterCustomRmgr(rmid / &rmgr) from _PG_init,,
MVCC / Transactions,Transaction Model,Transaction IDs (XID / 32-bit / wraparound),implemented,
MVCC / Transactions,Transaction Model,Snapshot: xmin/xmax/xip_list,implemented,
MVCC / Transactions,Transaction Model,Command IDs (CID) for statement visibility,implemented,
MVCC / Transactions,Isolation Levels,Read Committed (statement-level snapshot),implemented,
MVCC / Transactions,Isolation Levels,Repeatable Read (transaction-level snapshot),implemented,
MVCC / Transactions,Isolation Levels,Serializable (SSI with predicate locks),implemented,
MVCC / Transactions,Locking,Table-level locks: ACCESS SHARE / ROW SHARE / ROW EXCLUSIVE / SHARE UPDATE EXCLUSIVE / SHARE / SHARE ROW EXCLUSIVE / EXCLUSIVE / ACCESS EXCLUSIVE,implemented,
MVCC / Transactions,Locking,Row-level locks: FOR UPDATE / FOR NO KEY UPDATE / FOR SHARE / FOR KEY SHARE,implemented,
MVCC / Transactions,Locking,Page-level locks,implemented,
MVCC / Transactions,Locking,Advisory locks (session-level / transaction-level),implemented,
MVCC / Transactions,Locking,Deadlock detection (timeout-based graph check),implemented,
MVCC / Transactions,Locking,Predicate locks (serializable SIREAD locks),implemented,
MVCC / Transactions,Subtransactions,Savepoints / subtransaction XIDs / nested transaction stack,implemented,
MVCC / Transactions,Two-Phase Commit,PREPARE TRANSACTION / COMMIT PREPARED / ROLLBACK PREPARED,implemented,
MVCC / Transactions,Vacuum,VACUUM: scan heap / remove dead tuples / update FSM+VM / truncate,implemented,
MVCC / Transactions,Vacuum,Autovacuum daemon (thresholds / scaling / worker process),,Autovacuum package exists but integration status uncertain
MVCC / Transactions,Vacuum,FREEZE: set xmin= FrozenTransactionId (anti-wraparound),implemented,
MVCC / Transactions,Vacuum,Index vacuum: simple deletion (LP_DEAD) + bottom-up deletion (version churn),implemented,
Query Processing,Parser,Lexer / scanner (tokenization of SQL text),implemented,
Query Processing,Parser,Grammar rules (syntax analysis -> query tree),implemented,
Query Processing,Query Tree,QueryTree struct: commandType / rangeTable / targetList / qualification / jointree / sortClause / groupClause / havingQual / limitOffset / limitCount,,Not the internal IR; canonical serializer only for view ev_action
Query Processing,Query Tree,Range table entries (RTE_RELATION / RTE_SUBQUERY / RTE_JOIN / RTE_FUNCTION / RTE_VALUES / RTE_CTE),,RTE_RELATION only in pgnodes; others not in canonical serializer
Query Processing,Query Tree,Target list entries (TargetEntry with expression node trees),implemented,
Query Processing,Query Tree,Var nodes (referencing range-table index + column),implemented,planner.ColumnRef/OuterColumnRef; pgnodes.Var for view serialization
Query Processing,Rewrite System,Rule system (pg_rewrite catalog -> query trees with rule actions),,Schema fidelity only; rules have no runtime effect
Query Processing,Rewrite System,View rewriting: replace RTE_RELATION(view) -> RTE_SUBQUERY,implemented,AST inlining in planner
Query Processing,Rewrite System,INSERT/UPDATE/DELETE rules on views (auto-rewrite + conditional rules),,Auto-updatable views implemented; rule-based rewriting not
Query Processing,Rewrite System,Materialized views (separate storage / REFRESH),implemented,
Query Processing,Planner,Path model: cheapest path per relation + cheapest path overall,implemented,
Query Processing,Planner,Scan paths: SeqScan / IndexScan / IndexOnlyScan / BitmapHeapScan / TidScan / SampleScan / FunctionScan / SubqueryScan / CteScan / ValuesScan,implemented,No TidScan path
Query Processing,Planner,Join paths: NestedLoop / MergeJoin / HashJoin,implemented,
Query Processing,Planner,Join ordering: dynamic programming + GEQO (threshold),implemented,DP implemented; GEQO not (ceiling-16 policy)
Query Processing,Planner,Upper-level paths: GroupAgg / HashAgg / Sort / Limit / Material / Unique / SetOp / WindowAgg / LockRows,implemented,
Query Processing,Planner,Parallel paths: Gather / Gather Merge,implemented,
Query Processing,Planner,Cost estimation: startup_cost / total_cost / rows / width,implemented,
Query Processing,Planner,Statistics: pg_statistic (stanullfrac / stawidth / stadistinct / stanumbersN / stavaluesN),implemented,
Query Processing,Planner,Multivariate statistics (pg_statistic_ext -> dependencies / ndistinct / mcv),,Catalog metadata only; not consumed by planner
Query Processing,Executors,Result node (compute once / constant or from subplan),implemented,
Query Processing,Executors,SeqScan node (sequential table scan),implemented,
Query Processing,Executors,IndexScan / IndexOnlyScan node,implemented,
Query Processing,Executors,BitmapHeapScan node (with BitmapIndexScan + BitmapAnd/BitmapOr),implemented,
Query Processing,Executors,TidScan node (scan by CTID list),,
Query Processing,Executors,SubqueryScan node (scan subplan results),implemented,
Query Processing,Executors,FunctionScan node (scan function result set),implemented,
Query Processing,Executors,ValuesScan node (scan VALUES list),implemented,
Query Processing,Executors,CteScan node (scan CTE results),implemented,
Query Processing,Executors,NestedLoop join node,implemented,
Query Processing,Executors,MergeJoin node (requires sorted input),implemented,
Query Processing,Executors,HashJoin node (build hash table on inner side),implemented,
Query Processing,Executors,Materialize node (buffer subplan results),implemented,
Query Processing,Executors,Sort node (TutorialD sort / external sort),implemented,
Query Processing,Executors,Group node (merge-group adjacent sorted rows),implemented,
Query Processing,Executors,Aggregate node (HashAgg / GroupAgg for Aggref function evaluation),implemented,
Query Processing,Executors,WindowAgg node (window function evaluation),implemented,
Query Processing,Executors,Unique node (remove adjacent duplicate rows),implemented,
Query Processing,Executors,SetOp node (INTERSECT / EXCEPT),implemented,
Query Processing,Executors,Limit node (LIMIT / OFFSET),implemented,
Query Processing,Executors,LockRows node (FOR UPDATE locking),implemented,
Query Processing,Executors,ModifyTable node (INSERT / UPDATE / DELETE / MERGE),implemented,
Query Processing,Executors,Append / MergeAppend node (UNION ALL / partitioned tables),implemented,
Query Processing,Executors,Gather / GatherMerge node (parallel query),implemented,
Query Processing,Executors,ProjectSet node (SRF-in-targetlist evaluation),implemented,
Query Processing,Executors,TableFunctionScan node,,
Query Processing,Executors,WorkTableScan node (recursive CTE),implemented,
Query Processing,Expression Evaluation,Expr nodes: OpExpr / FuncExpr / Aggref / WindowFunc / ScalarArrayOpExpr / BoolExpr / SubLink / SubPlan / NullTest / BooleanTest / CoalesceExpr / MinMaxExpr / CaseExpr / ArrayExpr / RowExpr / CoerceViaIO / RelabelType / etc.,implemented,
Query Processing,Expression Evaluation,Qualification filter: do expression check per tuple,implemented,
Query Processing,Expression Evaluation,Target list projection: compute output columns,implemented,
Query Processing,Parallel Query,Parallel scan support (table AM + index AM callbacks),implemented,
Query Processing,Parallel Query,Gather node: collect tuples from workers,implemented,
Query Processing,Parallel Query,GatherMerge: merge sorted streams from workers,implemented,
Query Processing,Parallel Query,Partial (Append / SeqScan / IndexScan / Join) sub-plans,implemented,
Query Processing,Parallel Query,Parallel safety (PARALLEL SAFE / RESTRICTED / UNSAFE),implemented,
Data Types,Numeric,smallint / integer / bigint (int2/int4/int8 fixed-width),implemented,
Data Types,Numeric,real / double precision (float4/float8 IEEE 754),implemented,
Data Types,Numeric,numeric / decimal (variable-length / precision/scale / base-10000),implemented,
Data Types,Numeric,smallserial / serial / bigserial (auto-increment sequences),implemented,
Data Types,Monetary,money type (locale-aware currency / int8-based),,
Data Types,Character,character varying(n) / varchar(n) / character(n) / char(n) / text,implemented,
Data Types,Binary,bytea (binary string / hex/escape format),implemented,
Data Types,Date/Time,timestamp / timestamptz / date / time / timetz / interval,implemented,
Data Types,Date/Time,Interval fields (YEAR/MONTH/DAY/HOUR/MINUTE/SECOND),implemented,
Data Types,Boolean,boolean (true/false / 1 byte),implemented,
Data Types,Enum,CREATE TYPE AS ENUM (ordered list of labels),implemented,
Data Types,Network,inet / cidr / macaddr / macaddr8,,Stored as text; no operators/functions
Data Types,Bit String,bit(n) / bit varying(n),,
Data Types,Text Search,tsvector / tsquery,,
Data Types,UUID,uuid (128-bit),implemented,
Data Types,XML,xml (checked for well-formedness),,
Data Types,JSON,json (text preserved) / jsonb (decomposed binary),,Only -> and ->> operators; stored as text
Data Types,JSON,jsonpath (XPath-like query language for jsonb),,
Data Types,JSON,jsonb containment / existence operators (@> ? ?| ?&),,
Data Types,Array,base_type[] (multidimensional / variable-length),implemented,1-D arrays implemented; multidimensional flattened
Data Types,Range,int4range / int8range / numrange / tsrange / tstzrange / daterange,,DDL (CREATE TYPE AS RANGE) implemented; no runtime constructors/operators
Data Types,Range,Multirange (range[] / e.g. int4multirange),,DDL only; no runtime
Data Types,Geometric,point / line / lseg / box / path / polygon / circle,,Minimal point/box constructors return text; no distance/area operators
Data Types,Network Address,inet / cidr / macaddr,,Stored as text; no operators/functions
Data Types,pg_lsn,pg_lsn (WAL LSN display type),implemented,
Data Types,Pseudo-types,any / anyelement / anyarray / anynonarray / anyenum / anyrange / anycompatible / void / trigger / event_trigger / language_handler / fdw_handler / table_am_handler / index_am_handler / internal / opaque,,Catalog metadata only (typtype 'p'); not usable as column types
Data Types,Object Identifier,oid / tid / xid / cid,implemented,
System Catalogs,Core Tables,pg_class / pg_attribute / pg_type / pg_proc / pg_operator / pg_aggregate / pg_cast / pg_constraint / pg_index / pg_namespace / pg_database / pg_tablespace / pg_authid / pg_auth_members,implemented,
System Catalogs,Access Method,pg_am / pg_amop / pg_amproc / pg_opclass / pg_opfamily,implemented,
System Catalogs,Extensions,pg_extension / pg_foreign_data_wrapper / pg_foreign_server / pg_foreign_table / pg_user_mapping,implemented,
System Catalogs,Replication,pg_publication / pg_publication_namespace / pg_publication_rel / pg_subscription / pg_subscription_rel / pg_replication_origin,implemented,
System Catalogs,Trigger/Rewrite,pg_trigger / pg_rewrite / pg_policy,implemented,pg_rewrite: schema fidelity only (rules not fired); pg_policy: stored not enforced
System Catalogs,Statistics,pg_statistic / pg_statistic_ext / pg_statistic_ext_data / pg_parameter_acl,implemented,
System Catalogs,Text Search,pg_ts_config / pg_ts_config_map / pg_ts_dict / pg_ts_parser / pg_ts_template,implemented,
System Catalogs,Other,pg_enum / pg_range / pg_depend / pg_shdepend / pg_description / pg_shdescription / pg_seclabel / pg_shseclabel / pg_default_acl / pg_db_role_setting / pg_language / pg_largeobject / pg_largeobject_metadata / pg_sequence / pg_transform / pg_init_privs / pg_attrdef / pg_partitioned_table / pg_inherits / pg_collation / pg_conversion / pg_partitioned_table / pg_event_trigger,implemented,
Index Access Methods,API,IndexAmRoutine struct + handler function (ambuild/insert/delete/scan/cost/options/validate),,No IndexAmRoutine abstraction; direct B-tree binding
Index Access Methods,API,Index scan callbacks: ambeginscan / amrescan / amgettuple / amgetbitmap / amendscan / ammarkpos / amrestrpos,,B-tree scan callbacks exist; no generic AM dispatch
Index Access Methods,API,Support functions: amstrategies / amsupport / amcanorder / amcanbackward / amcanunique / amcanmulticol / amsearcharray / amsearchnulls / amcaninclude / etc.,,
Index Access Methods,API,Scan keys (ScanKeyData): strategy / argument / flags,implemented,
Index Access Methods,API,Lossy index / recheck flag,implemented,
Index Access Methods,API,Ordered scan (forward/backward) + mark/restore,implemented,
Index Access Methods,API,Index-only scans (amcanreturn callback),implemented,
Index Access Methods,API,Bitmap scans (amgetbitmap -> tid bitmap),implemented,
Index Access Methods,API,Uniqueness checks (amcanunique),implemented,
Index Access Methods,API,Cost estimation function (amcostestimate),implemented,
Index Access Methods,API,Parallel index scan support (amestimateparallelscan / aminitparallelscan / amparallelrescan),implemented,
Index Access Methods,API,Operator class / operator family (pg_opfamily / pg_opclass / pg_amop / pg_amproc),implemented,
Index Access Methods,B-Tree,B-tree structure: metapage / internal pages / leaf pages (doubly linked),implemented,
Index Access Methods,B-Tree,B-tree page split (cascading upward),implemented,
Index Access Methods,B-Tree,5 comparison operators: < <= = >= >,implemented,
Index Access Methods,B-Tree,sortsupport / in_range / equalimage / options support functions,implemented,
Index Access Methods,B-Tree,Deduplication (posting list tuples),implemented,
Index Access Methods,B-Tree,Bottom-up index deletion (garbage version cleanup),implemented,
Index Access Methods,B-Tree,Simple index tuple deletion (LP_DEAD bits),implemented,
Index Access Methods,GiST,GiST structure: generalized search tree (balanced),,
Index Access Methods,GiST,Support callbacks: consistent / union / compress / decompress / penalty / picksplit / same / distance / fetch / options / sortsupport,,
Index Access Methods,GiST,Nearest-neighbor search (distance + ordering operators),,
Index Access Methods,GiST,GiST index build: sorted mode / buffered mode,,
Index Access Methods,GiST,CREATE INDEX with sortsupport (locality-preserving sort),,
Index Access Methods,SP-GiST,SP-GiST: space-partitioned (quad-trees / k-d trees / radix trees),,
Index Access Methods,SP-GiST,Inner tuples: prefix + nodes (node labels / no labels),,
Index Access Methods,SP-GiST,Support callbacks: config / choose / picksplit / inner_consistent / leaf_consistent / compress / options,,
Index Access Methods,SP-GiST,All-the-same inner tuples (fallback for failed picksplit),,
Index Access Methods,SP-GiST,longValuesOK for large values (repeated suffix stripping),,
Index Access Methods,GIN,GIN structure: B-tree over keys -> posting tree or posting list,,
Index Access Methods,GIN,GIN support: extractValue / extractQuery / consistent / triConsistent / compare / comparePartial / options,,
Index Access Methods,GIN,Partial match algorithm,,
Index Access Methods,GIN,Fast update technique (pending list),,
Index Access Methods,GIN,GIN posting tree vs posting list,,
Index Access Methods,BRIN,BRIN: block range index (per-range summary),,
Index Access Methods,BRIN,Support callbacks: opcInfo / consistent / addValue / unionTuples / options,,
Index Access Methods,BRIN,Minmax / minmax-multi / inclusion / bloom operator classes,,
Index Access Methods,BRIN,Block range size (pages_per_range),,
Index Access Methods,BRIN,Autosummarization + brin_summarize_new_values / brin_summarize_range,,
Index Access Methods,Hash Index,Hash structure: metapage / bucket pages / overflow pages / bitmap pages,,
Index Access Methods,Hash Index,Hash index: 4-byte hash value only (= operator / single-column),,
Index Access Methods,Hash Index,Bucket splitting (incremental expansion / crash-safe),,
Index Access Methods,Hash Index,Sorted index entries within page (binary search),,
Table Access Methods,API,TableAmRoutine struct + handler function,,No TableAmRoutine; heap hardcoded
Table Access Methods,API,Table AM callbacks: scan_begin/scan_end/scan_getnextslot/scan_rescan/scan_bitmap_next_block/scan_bitmap_next_tuple/etc.,,Not pluggable; heap-specific code in storage/executor
Table Access Methods,API,Tuple table slots (abstracted row format for AMs),implemented,
Table Access Methods,API,RelationNeedsWAL / insert / delete / update / tuple_lock / etc.,,Functionality present but not via TableAmRoutine dispatch
Table Access Methods,heap,heap access method (built-in / uses shared buffer cache + standard page layout),implemented,
JIT,JIT Compilation,Expression evaluation JIT (LLVM),,
JIT,JIT Compilation,Tuple deforming JIT,,
JIT,JIT Compilation,Inline support for extensions (LLVM bitcode),,
JIT,JIT Compilation,Pluggable JIT providers,,
DDL / SQL Commands,Statements,SELECT / INSERT / UPDATE / DELETE / MERGE / CREATE TABLE / ALTER TABLE / DROP TABLE / CREATE INDEX / CREATE VIEW / CREATE FUNCTION / CREATE TRIGGER / etc. (~100+ statement types),implemented,
DDL / SQL Commands,Partitioning,Partitioned tables (RANGE / LIST / HASH),implemented,
DDL / SQL Commands,Inheritance,Table inheritance (parent/child with pg_inherits),implemented,
DDL / SQL Commands,Constraints,PRIMARY KEY / FOREIGN KEY / UNIQUE / CHECK / EXCLUDE (GiST-based),implemented,
DDL / SQL Commands,Row Security,Row-level security policies (pg_policy),,Stored in catalog; not enforced at query time
DDL / SQL Commands,Generated Columns,Stored generated columns,implemented,
DDL / SQL Commands,Identity Columns,GENERATED AS IDENTITY,implemented,
DDL / SQL Commands,Sequences,CREATE SEQUENCE / nextval / currval / setval / pg_sequence catalog,implemented,
DDL / SQL Commands,Triggers,CREATE TRIGGER (BEFORE/AFTER/INSTEAD OF / row/statement / timing),implemented,
DDL / SQL Commands,Event Triggers,DDL event triggers (pg_event_trigger),,Catalog only; never fired
DDL / SQL Commands,Foreign Data,CREATE FOREIGN DATA WRAPPER / SERVER / TABLE / USER MAPPING,,Metadata only; no FDW scan/FdwRoutine
DDL / SQL Commands,Foreign Data,postgres_fdw / file_fdw built-in FDWs,,
DDL / SQL Commands,Tablesample,SYSTEM / BERNOULLI sampling methods,,
DDL / SQL Commands,COPY,COPY TO / FROM STDIN (text/binary),implemented,
SQL Features,Query Features,CTE (WITH clause / recursive CTE),implemented,
SQL Features,Query Features,Window functions (OVER / PARTITION BY / ORDER BY / frame clauses),implemented,
SQL Features,Query Features,SET operations (UNION / INTERSECT / EXCEPT),implemented,
SQL Features,Query Features,LATERAL subqueries,implemented,
SQL Features,Query Features,JSON functions and operators (jsonb_path_query etc.),,Only -> and ->> operators
SQL Features,Query Features,Full-text search (tsvector/tsquery @@ / plainto_tsquery / websearch_to_tsquery),,
SQL Features,Query Features,XML functions (xpath / xmlexists / xmltable),,
SQL Features,Query Features,Array functions (array_agg / unnest / etc.),implemented,
SQL Features,Query Features,Row pattern recognition (MATCH_RECOGNIZE),,
SQL Features,Query Features,GROUPING SETS / CUBE / ROLLUP,implemented,
