 prev_year | year | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff | sales_amt_diff 
      2001 | 2002 |   10009001 |         14 |             8 |           213 |        2879 |        1991 |           -888 |      -45183.12
      2001 | 2002 |    8004008 |          4 |             8 |            48 |        2626 |        1740 |           -886 |      -85620.69
      2001 | 2002 |    9005009 |         12 |             8 |           503 |        2867 |        1991 |           -876 |      -36042.95
      2001 | 2002 |    8011004 |         11 |             8 |           116 |        3013 |        2139 |           -874 |      -52065.84
      2001 | 2002 |    8005006 |          5 |             8 |            89 |        2913 |        2043 |           -870 |      -29475.69
      2001 | 2002 |    8007010 |          7 |             8 |           267 |        3697 |        2837 |           -860 |       -7553.97
      2001 | 2002 |    8002010 |          2 |             8 |           630 |        3086 |        2254 |           -832 |      -59610.49
      2001 | 2002 |    8005009 |          5 |             8 |            15 |        2825 |        1993 |           -832 |      -54083.22
      2001 | 2002 |    8014010 |         14 |             8 |           553 |        3255 |        2427 |           -828 |      -38680.79
      2001 | 2002 |    8016008 |         16 |             8 |            86 |        2954 |        2130 |           -824 |      -29046.55
      2001 | 2002 |    8015008 |         15 |             8 |           964 |        2689 |        1881 |           -808 |      -65988.04
      2001 | 2002 |    3002001 |          2 |             8 |            11 |        3372 |        2564 |           -808 |       32545.05
      2001 | 2002 |    8002010 |          2 |             8 |            60 |        3171 |        2383 |           -788 |      -38835.21
      2001 | 2002 |    3004001 |          1 |             8 |           110 |        2973 |        2191 |           -782 |      -73701.97
      2001 | 2002 |    8010006 |         10 |             8 |           285 |        3046 |        2266 |           -780 |      -64649.16
      2001 | 2002 |    8004004 |          4 |             8 |           262 |        2889 |        2111 |           -778 |      -41399.09
      2001 | 2002 |    3003001 |          3 |             8 |           171 |        3423 |        2650 |           -773 |      -52046.99
      2001 | 2002 |   10016003 |         10 |             8 |           794 |        2828 |        2060 |           -768 |      -55598.68
      2001 | 2002 |    8012002 |          1 |             8 |           176 |        3083 |        2317 |           -766 |      -64949.98
      2001 | 2002 |    8005004 |          5 |             8 |           608 |        2795 |        2035 |           -760 |      -49606.92
      2001 | 2002 |    8007006 |          7 |             8 |           973 |        3153 |        2398 |           -755 |      -50825.36
      2001 | 2002 |    8001002 |          1 |             8 |           752 |        3054 |        2306 |           -748 |       -4512.47
      2001 | 2002 |    8016006 |         16 |             8 |           340 |        2790 |        2048 |           -742 |      -54692.95
      2001 | 2002 |    8008008 |          8 |             8 |           270 |        2926 |        2196 |           -730 |      -28747.91
      2001 | 2002 |    1002001 |          2 |             8 |           393 |        2581 |        1853 |           -728 |      -48737.30
      2001 | 2002 |    8002008 |          2 |             8 |           272 |        2655 |        1930 |           -725 |      -31794.07
      2001 | 2002 |    2002001 |         13 |             8 |           376 |        2775 |        2058 |           -717 |      -54403.91
      2001 | 2002 |    8001010 |          1 |             8 |           146 |        2917 |        2209 |           -708 |      -37729.85
      2001 | 2002 |    8009004 |          9 |             8 |           258 |        2900 |        2194 |           -706 |      -37311.51
      2001 | 2002 |    6010001 |         10 |             8 |            47 |        3308 |        2603 |           -705 |      -84257.62
      2001 | 2002 |    8004004 |          4 |             8 |           238 |        3236 |        2531 |           -705 |       -3445.39
      2001 | 2002 |    8013004 |         13 |             8 |            89 |        2849 |        2148 |           -701 |      -10752.36
      2001 | 2002 |    3004001 |         14 |             8 |           186 |        2691 |        1998 |           -693 |      -68190.23
      2001 | 2002 |    8007008 |          7 |             8 |           193 |        5500 |        4808 |           -692 |      -83519.38
      2001 | 2002 |    8008006 |          8 |             8 |            82 |        3176 |        2491 |           -685 |      -31176.01
      2001 | 2002 |    4001001 |          1 |             8 |           417 |        2869 |        2186 |           -683 |      -15864.95
      2001 | 2002 |    8012002 |         12 |             8 |           431 |        3009 |        2330 |           -679 |      -36115.84
      2001 | 2002 |    8008010 |          3 |             8 |           495 |        3191 |        2517 |           -674 |      -58388.43
      2001 | 2002 |    9013009 |         13 |             8 |           337 |        2709 |        2054 |           -655 |      -13237.02
      2001 | 2002 |    8011010 |         11 |             8 |           365 |        2561 |        1920 |           -641 |      -18457.06
      2001 | 2002 |    8009002 |          9 |             8 |           558 |        2759 |        2123 |           -636 |      -15484.89
      2001 | 2002 |    8006008 |          6 |             8 |           605 |        2513 |        1885 |           -628 |      -19354.45
      2001 | 2002 |    8008004 |          8 |             8 |           305 |        2729 |        2112 |           -617 |      -58200.10
      2001 | 2002 |    8008002 |          6 |             8 |            72 |        2980 |        2364 |           -616 |      -15188.64
      2001 | 2002 |    8008010 |          4 |             8 |           167 |        2844 |        2234 |           -610 |       20732.36
      2001 | 2002 |   10016012 |         13 |             8 |            46 |        2688 |        2080 |           -608 |      -19768.77
      2001 | 2002 |    8008008 |          8 |             8 |           611 |        2474 |        1894 |           -580 |      -31598.74
      2001 | 2002 |    7011003 |         10 |             8 |           234 |        2396 |        1816 |           -580 |       22418.59
      2001 | 2002 |    8010004 |         10 |             8 |           343 |        3049 |        2478 |           -571 |      -50911.02
      2001 | 2002 |    8013008 |         13 |             8 |           103 |        2665 |        2108 |           -557 |      -20244.55
      2001 | 2002 |    4004001 |          4 |             8 |           278 |        2944 |        2390 |           -554 |      -28548.42
      2001 | 2002 |    8009006 |          9 |             8 |           310 |        2973 |        2419 |           -554 |        3576.69
      2001 | 2002 |    8012004 |         12 |             8 |           167 |        2965 |        2412 |           -553 |      -26798.10
      2001 | 2002 |    8013002 |         13 |             8 |           758 |        3090 |        2546 |           -544 |      -29535.04
      2001 | 2002 |    8001004 |          1 |             8 |           409 |        2899 |        2357 |           -542 |       16872.47
      2001 | 2002 |    9001009 |          4 |             8 |            16 |        2943 |        2417 |           -526 |      -24727.98
      2001 | 2002 |    8002006 |          2 |             8 |           213 |        2813 |        2288 |           -525 |      -29203.95
      2001 | 2002 |    8015002 |         15 |             8 |            36 |        2947 |        2422 |           -525 |       12117.05
      2001 | 2002 |    8007004 |          7 |             8 |           621 |        2656 |        2135 |           -521 |       23082.24
      2001 | 2002 |    8015006 |          3 |             8 |           149 |        3195 |        2675 |           -520 |        -538.01
      2001 | 2002 |    8002002 |          2 |             8 |           771 |        2994 |        2475 |           -519 |      -11650.14
      2001 | 2002 |    8005006 |          8 |             8 |            91 |        3081 |        2564 |           -517 |      -53200.45
      2001 | 2002 |    8006002 |          6 |             8 |           167 |        2543 |        2028 |           -515 |      -37734.06
      2001 | 2002 |    8004008 |          4 |             8 |           355 |        3120 |        2611 |           -509 |       22574.90
      2001 | 2002 |    8008009 |         12 |             8 |            62 |        2713 |        2206 |           -507 |      -17351.78
      2001 | 2002 |    8005008 |          5 |             8 |           864 |        2676 |        2170 |           -506 |      -44715.38
      2001 | 2002 |    8008002 |          8 |             8 |           212 |        2451 |        1947 |           -504 |      -18940.05
      2001 | 2002 |    8016002 |         16 |             8 |           873 |        2627 |        2128 |           -499 |        7772.34
      2001 | 2002 |    8011003 |          4 |             8 |           522 |        2501 |        2004 |           -497 |      -26073.30
(100 rows)

