 ca_state | cd_gender | cd_marital_status | cd_dep_count | cnt1 |          avg           | stddev_samp | sum | cd_dep_employed_count | cnt2 |          avg           | stddev_samp | sum | cd_dep_college_count | cnt3 |          avg           | stddev_samp | sum 
 AL       | F         | U                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AL       | F         | W                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    5 |    1 |     5.0000000000000000 |             |   5
 AL       | M         | D                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AL       | M         | M                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    2 |    1 |     2.0000000000000000 |             |   2
 AL       | M         | M                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AL       | M         | M                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    2 |    1 |     2.0000000000000000 |             |   2
 AL       | M         | M                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AL       | M         | S                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    5 |    1 |     5.0000000000000000 |             |   5
 AL       | M         | S                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    4 |    1 |     4.0000000000000000 |             |   4
 AL       | M         | S                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    2 |    1 |     2.0000000000000000 |             |   2
 AL       | M         | U                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    4 |    1 |     4.0000000000000000 |             |   4
 AL       | M         | U                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AL       | M         | W                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    5 |    1 |     5.0000000000000000 |             |   5
 AL       | M         | W                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    5 |    1 |     5.0000000000000000 |             |   5
 AL       | M         | W                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AL       | M         | W                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AR       | F         | D                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | F         | D                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | F         | D                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AR       | F         | D                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AR       | F         | D                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | F         | D                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | F         | M                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | F         | M                 |            4 |    2 |     4.0000000000000000 |           0 |   8 |                     1 |    2 | 1.00000000000000000000 |           0 |   2 |                    2 |    2 |     2.0000000000000000 |           0 |   4
 AR       | F         | S                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AR       | F         | S                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | F         | U                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | F         | U                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    3 |    1 |     3.0000000000000000 |             |   3
 AR       | F         | W                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | F         | W                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | F         | W                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AR       | F         | W                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | M         | M                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    4 |    1 |     4.0000000000000000 |             |   4
 AR       | M         | M                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AR       | M         | M                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AR       | M         | M                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | M         | S                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | M         | S                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | M         | S                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    5 |    1 |     5.0000000000000000 |             |   5
 AR       | M         | S                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    3 |    1 |     3.0000000000000000 |             |   3
 AR       | M         | S                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | M         | S                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    4 |    1 |     4.0000000000000000 |             |   4
 AR       | M         | S                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AR       | M         | U                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    4 |    1 |     4.0000000000000000 |             |   4
 AR       | M         | U                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AR       | M         | U                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    6 |    1 |     6.0000000000000000 |             |   6
 AR       | M         | W                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    2 |    1 |     2.0000000000000000 |             |   2
 AR       | M         | W                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AZ       | F         | M                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    5 |    1 |     5.0000000000000000 |             |   5
 AZ       | F         | U                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    0 |    1 | 0.00000000000000000000 |             |   0
 AZ       | M         | M                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    6 |    1 |     6.0000000000000000 |             |   6
 AZ       | M         | S                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    2 |    1 |     2.0000000000000000 |             |   2
 AZ       | M         | S                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    1 |    1 | 1.00000000000000000000 |             |   1
 AZ       | M         | U                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    0 |    1 | 0.00000000000000000000 |             |   0
 CA       | F         | D                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | F         | D                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    0 |    1 | 0.00000000000000000000 |             |   0
 CA       | F         | D                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    2 |    1 |     2.0000000000000000 |             |   2
 CA       | F         | D                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | F         | M                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    5 |    1 |     5.0000000000000000 |             |   5
 CA       | F         | M                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | F         | S                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | F         | S                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | F         | S                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    5 |    1 |     5.0000000000000000 |             |   5
 CA       | F         | U                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    3 |    1 |     3.0000000000000000 |             |   3
 CA       | F         | W                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    2 |    1 |     2.0000000000000000 |             |   2
 CA       | F         | W                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | F         | W                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    3 |    1 |     3.0000000000000000 |             |   3
 CA       | F         | W                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    6 |    1 |     6.0000000000000000 |             |   6
 CA       | M         | D                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    2 |    1 |     2.0000000000000000 |             |   2
 CA       | M         | D                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    0 |    1 | 0.00000000000000000000 |             |   0
 CA       | M         | D                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | M         | S                 |            1 |    1 | 1.00000000000000000000 |             |   1 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    2 |    1 |     2.0000000000000000 |             |   2
 CA       | M         | U                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    2 |    1 |     2.0000000000000000 |             |   2
 CA       | M         | U                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    3 |    1 |     3.0000000000000000 |             |   3
 CA       | M         | U                 |            0 |    1 | 0.00000000000000000000 |             |   0 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | M         | U                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     3 |    1 |     3.0000000000000000 |             |   3 |                    3 |    1 |     3.0000000000000000 |             |   3
 CA       | M         | W                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    0 |    1 | 0.00000000000000000000 |             |   0
 CA       | M         | W                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    4 |    1 |     4.0000000000000000 |             |   4
 CA       | M         | W                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     0 |    1 | 0.00000000000000000000 |             |   0 |                    6 |    1 |     6.0000000000000000 |             |   6
 CO       | F         | D                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    0 |    1 | 0.00000000000000000000 |             |   0
 CO       | F         | D                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    1 |    1 | 1.00000000000000000000 |             |   1
 CO       | F         | D                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    4 |    1 |     4.0000000000000000 |             |   4
 CO       | F         | D                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     6 |    1 |     6.0000000000000000 |             |   6 |                    0 |    1 | 0.00000000000000000000 |             |   0
 CO       | F         | M                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    4 |    1 |     4.0000000000000000 |             |   4
 CO       | F         | M                 |            2 |    1 |     2.0000000000000000 |             |   2 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    6 |    1 |     6.0000000000000000 |             |   6
 CO       | F         | S                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     5 |    1 |     5.0000000000000000 |             |   5 |                    5 |    1 |     5.0000000000000000 |             |   5
 CO       | F         | S                 |            5 |    1 |     5.0000000000000000 |             |   5 |                     2 |    1 |     2.0000000000000000 |             |   2 |                    0 |    1 | 0.00000000000000000000 |             |   0
 CO       | F         | U                 |            3 |    1 |     3.0000000000000000 |             |   3 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    5 |    1 |     5.0000000000000000 |             |   5
 CO       | F         | U                 |            4 |    1 |     4.0000000000000000 |             |   4 |                     1 |    1 | 1.00000000000000000000 |             |   1 |                    5 |    1 |     5.0000000000000000 |             |   5
 CO       | F         | U                 |            6 |    1 |     6.0000000000000000 |             |   6 |                     4 |    1 |     4.0000000000000000 |             |   4 |                    2 |    1 |     2.0000000000000000 |             |   2
(100 rows)

