     channel     |              id              |  sales   | returns |  profit   
 catalog channel | catalog_pageAAAAAAAADJBCAAAA |  6996.57 |       0 |  -3908.54
 catalog channel | catalog_pageAAAAAAAADJPBAAAA | 11503.29 |  946.96 |    428.85
 catalog channel | catalog_pageAAAAAAAADKBCAAAA |   296.79 |       0 |   -712.14
 catalog channel | catalog_pageAAAAAAAADKPBAAAA | 12643.44 |       0 |   3105.86
 catalog channel | catalog_pageAAAAAAAADLBCAAAA |  3250.82 |       0 |   -803.64
 catalog channel | catalog_pageAAAAAAAADMBCAAAA |  7614.07 |       0 |  -4422.45
 catalog channel | catalog_pageAAAAAAAADNBCAAAA |   621.81 |       0 |   -285.29
 catalog channel | catalog_pageAAAAAAAADNOBAAAA |  9695.25 | 1515.00 |  -5082.96
 catalog channel | catalog_pageAAAAAAAADOBCAAAA |  1926.12 |       0 |   -593.88
 catalog channel | catalog_pageAAAAAAAADOOBAAAA | 17516.58 |       0 |  -2399.82
 catalog channel | catalog_pageAAAAAAAADPOBAAAA |  3327.75 |       0 |  -3403.20
 catalog channel | catalog_pageAAAAAAAAEAPBAAAA |  5210.15 |       0 |   1103.22
 catalog channel | catalog_pageAAAAAAAAEBPBAAAA | 19736.38 | 1474.20 |    893.60
 catalog channel | catalog_pageAAAAAAAAECPBAAAA | 17769.92 |       0 |   1858.24
 catalog channel | catalog_pageAAAAAAAAEDPBAAAA | 20273.61 |  187.16 |  -3999.96
 catalog channel | catalog_pageAAAAAAAAEEPBAAAA |   733.18 |       0 |   -144.20
 catalog channel | catalog_pageAAAAAAAAEFPBAAAA |  2772.56 |       0 |    212.96
 catalog channel | catalog_pageAAAAAAAAEGPBAAAA |   445.44 |       0 |   -913.92
 catalog channel | catalog_pageAAAAAAAAEHBCAAAA |   126.84 |       0 |    -75.60
 catalog channel | catalog_pageAAAAAAAAEHPBAAAA | 16264.84 | 5558.72 |  -9518.23
 catalog channel | catalog_pageAAAAAAAAEIBCAAAA |  1301.82 |       0 |  -5182.68
 catalog channel | catalog_pageAAAAAAAAEIPBAAAA |  5271.67 | 2146.79 | -10913.36
 catalog channel | catalog_pageAAAAAAAAEJBCAAAA |  2023.09 |       0 |    560.17
 catalog channel | catalog_pageAAAAAAAAEJPBAAAA |  3447.04 |       0 |  -1233.28
 catalog channel | catalog_pageAAAAAAAAEKBCAAAA |  8456.66 |       0 |  -2112.66
 catalog channel | catalog_pageAAAAAAAAELBCAAAA |   162.90 |       0 |     11.55
 catalog channel | catalog_pageAAAAAAAAENOBAAAA | 17819.83 | 2628.21 |  -2385.30
(100 rows)

