                   i_product_name                   |                      i_brand                       |                      i_class                       |                     i_category                     |         qoh          
 callyoughtn stcallyought                           | exportiamalg #1                                    | maternity                                          | Women                                              | 451.8744939271255061
 callyoughtn stcallyought                           | exportiamalg #1                                    | maternity                                          |                                                    | 451.8744939271255061
 callyoughtn stcallyought                           | exportiamalg #1                                    |                                                    |                                                    | 451.8744939271255061
 callyoughtn stcallyought                           |                                                    |                                                    |                                                    | 451.8744939271255061
 barablen stableought                               | edu packimporto #1                                 | sports-apparel                                     | Men                                                | 451.9514170040485830
 barablen stableought                               | edu packimporto #1                                 | sports-apparel                                     |                                                    | 451.9514170040485830
 barablen stableought                               | edu packimporto #1                                 |                                                    |                                                    | 451.9514170040485830
 barablen stableought                               |                                                    |                                                    |                                                    | 451.9514170040485830
 barn stbareing                                     | scholarnameless #1                                 | fitness                                            | Sports                                             | 452.0082987551867220
 barn stbareing                                     | scholarnameless #1                                 | fitness                                            |                                                    | 452.0082987551867220
 barn stbareing                                     | scholarnameless #1                                 |                                                    |                                                    | 452.0082987551867220
 barn stbareing                                     |                                                    |                                                    |                                                    | 452.0082987551867220
 eingeseeingantiought                               | scholarmaxi #9                                     | history                                            | Books                                              | 452.1102040816326531
 eingeseeingantiought                               | scholarmaxi #9                                     | history                                            |                                                    | 452.1102040816326531
 eingeseeingantiought                               | scholarmaxi #9                                     |                                                    |                                                    | 452.1102040816326531
 eingeseeingantiought                               |                                                    |                                                    |                                                    | 452.1102040816326531
 callyablen stantiought                             | exportischolar #1                                  | pop                                                | Music                                              | 452.5726141078838174
 callyablen stantiought                             | exportischolar #1                                  | pop                                                |                                                    | 452.5726141078838174
 callyablen stantiought                             | exportischolar #1                                  |                                                    |                                                    | 452.5726141078838174
 callyablen stantiought                             |                                                    |                                                    |                                                    | 452.5726141078838174
 callybarantipri                                    | scholarmaxi #3                                     | history                                            | Books                                              | 453.3510204081632653
 callybarantipri                                    | scholarmaxi #3                                     | history                                            |                                                    | 453.3510204081632653
 callybarantipri                                    | scholarmaxi #3                                     |                                                    |                                                    | 453.3510204081632653
 callybarantipri                                    |                                                    |                                                    |                                                    | 453.3510204081632653
 ableesen stanti                                    | edu packscholar #1                                 | classical                                          | Music                                              | 453.4979919678714859
 ableesen stanti                                    | edu packscholar #1                                 | classical                                          |                                                    | 453.4979919678714859
 ableesen stanti                                    | edu packscholar #1                                 |                                                    |                                                    | 453.4979919678714859
 ableesen stanti                                    |                                                    |                                                    |                                                    | 453.4979919678714859
 callybaresebarought                                | maxinameless #7                                    | optics                                             | Sports                                             | 453.7450199203187251
 callybaresebarought                                | maxinameless #7                                    | optics                                             |                                                    | 453.7450199203187251
 callybaresebarought                                | maxinameless #7                                    |                                                    |                                                    | 453.7450199203187251
 callybaresebarought                                |                                                    |                                                    |                                                    | 453.7450199203187251
 eingpriationanti                                   | importoimporto #1                                  | shirts                                             | Men                                                | 453.9959183673469388
 eingpriationanti                                   | importoimporto #1                                  | shirts                                             |                                                    | 453.9959183673469388
 eingpriationanti                                   | importoimporto #1                                  |                                                    |                                                    | 453.9959183673469388
 eingpriationanti                                   |                                                    |                                                    |                                                    | 453.9959183673469388
 ableanticallycallyought                            | univamalgamalg #10                                 | memory                                             | Electronics                                        | 454.3870967741935484
 ableanticallycallyought                            | univamalgamalg #10                                 | memory                                             |                                                    | 454.3870967741935484
 ableanticallycallyought                            | univamalgamalg #10                                 |                                                    |                                                    | 454.3870967741935484
 ableanticallycallyought                            |                                                    |                                                    |                                                    | 454.3870967741935484
 ableationbareseought                               | exportiedu pack #1                                 | kids                                               | Shoes                                              | 454.9397590361445783
 ableationbareseought                               | exportiedu pack #1                                 | kids                                               |                                                    | 454.9397590361445783
 ableationbareseought                               | exportiedu pack #1                                 |                                                    |                                                    | 454.9397590361445783
 ableationbareseought                               |                                                    |                                                    |                                                    | 454.9397590361445783
 eingationablecally                                 | exportiamalg #1                                    | maternity                                          | Women                                              | 455.2235772357723577
 eingationablecally                                 | exportiamalg #1                                    | maternity                                          |                                                    | 455.2235772357723577
 eingationablecally                                 | exportiamalg #1                                    |                                                    |                                                    | 455.2235772357723577
 eingationablecally                                 |                                                    |                                                    |                                                    | 455.2235772357723577
(100 rows)

