 channel |      col_name       | d_year | d_qoy |                     i_category                     | sales_cnt | sales_amt 
 catalog | cs_bill_customer_sk |   1999 |     1 | Jewelry                                            |         4 |   1341.90
 catalog | cs_bill_customer_sk |   1999 |     1 | Men                                                |         5 |   5926.67
 catalog | cs_bill_customer_sk |   1999 |     1 | Music                                              |         8 |  10895.45
 catalog | cs_bill_customer_sk |   1999 |     1 | Shoes                                              |         3 |   1263.42
 catalog | cs_bill_customer_sk |   1999 |     1 | Sports                                             |         2 |    130.69
 catalog | cs_bill_customer_sk |   1999 |     1 | Women                                              |         9 |  10920.29
 catalog | cs_bill_customer_sk |   1999 |     2 | Books                                              |         4 |   2911.29
 catalog | cs_bill_customer_sk |   1999 |     2 | Children                                           |         4 |   7026.37
 catalog | cs_bill_customer_sk |   1999 |     2 | Electronics                                        |         8 |  12910.63
 catalog | cs_bill_customer_sk |   1999 |     2 | Home                                               |         4 |   1576.17
 catalog | cs_bill_customer_sk |   1999 |     2 | Men                                                |         3 |          
 catalog | cs_bill_customer_sk |   1999 |     2 | Music                                              |         5 |    930.50
 catalog | cs_bill_customer_sk |   1999 |     2 | Shoes                                              |         3 |   1991.97
 catalog | cs_bill_customer_sk |   1999 |     2 | Sports                                             |         4 |     82.50
 catalog | cs_bill_customer_sk |   1999 |     2 | Women                                              |         5 |   1989.25
 catalog | cs_bill_customer_sk |   1999 |     3 | Books                                              |         9 |  10824.99
 catalog | cs_bill_customer_sk |   1999 |     3 | Children                                           |         7 |   7403.83
 catalog | cs_bill_customer_sk |   1999 |     3 | Electronics                                        |         7 |   8176.82
 catalog | cs_bill_customer_sk |   1999 |     3 | Home                                               |         6 |  15102.45
 catalog | cs_bill_customer_sk |   1999 |     3 | Jewelry                                            |        12 |  13643.55
 catalog | cs_bill_customer_sk |   1999 |     3 | Men                                                |         8 |   6865.02
 catalog | cs_bill_customer_sk |   1999 |     3 | Music                                              |         9 |   2421.31
 catalog | cs_bill_customer_sk |   1999 |     3 | Shoes                                              |         5 |   3018.08
 catalog | cs_bill_customer_sk |   1999 |     3 | Sports                                             |        10 |  21679.73
 catalog | cs_bill_customer_sk |   1999 |     3 | Women                                              |         8 |   1238.18
 catalog | cs_bill_customer_sk |   1999 |     4 | Books                                              |        15 |  14174.51
 catalog | cs_bill_customer_sk |   1999 |     4 | Children                                           |        18 |  19595.26
 catalog | cs_bill_customer_sk |   1999 |     4 | Electronics                                        |        15 |  20532.01
 catalog | cs_bill_customer_sk |   1999 |     4 | Home                                               |        32 |  20972.48
 catalog | cs_bill_customer_sk |   1999 |     4 | Jewelry                                            |        13 |  19464.79
 catalog | cs_bill_customer_sk |   1999 |     4 | Men                                                |         6 |   4021.00
 catalog | cs_bill_customer_sk |   1999 |     4 | Music                                              |        15 |  11626.02
 catalog | cs_bill_customer_sk |   1999 |     4 | Shoes                                              |        19 |  16476.89
 catalog | cs_bill_customer_sk |   1999 |     4 | Sports                                             |        19 |  21414.64
 catalog | cs_bill_customer_sk |   1999 |     4 | Women                                              |        18 |  24224.36
 catalog | cs_bill_customer_sk |   1999 |     4 |                                                    |         1 |          
 catalog | cs_bill_customer_sk |   2000 |     1 | Books                                              |         8 |  15675.10
 catalog | cs_bill_customer_sk |   2000 |     1 | Children                                           |         7 |  13239.51
 catalog | cs_bill_customer_sk |   2000 |     1 | Electronics                                        |         7 |  25169.28
 catalog | cs_bill_customer_sk |   2000 |     1 | Home                                               |         7 |  15152.95
 catalog | cs_bill_customer_sk |   2000 |     1 | Jewelry                                            |         4 |    649.02
 catalog | cs_bill_customer_sk |   2000 |     1 | Men                                                |         4 |  13862.56
 catalog | cs_bill_customer_sk |   2000 |     1 | Music                                              |         4 |   1643.49
 catalog | cs_bill_customer_sk |   2000 |     1 | Shoes                                              |         3 |          
 catalog | cs_bill_customer_sk |   2000 |     1 | Sports                                             |         5 |   2306.64
 catalog | cs_bill_customer_sk |   2000 |     1 | Women                                              |         6 |   4897.99
 catalog | cs_bill_customer_sk |   2000 |     2 | Books                                              |         5 |   3918.39
 catalog | cs_bill_customer_sk |   2000 |     2 | Children                                           |         7 |   5507.46
 catalog | cs_bill_customer_sk |   2000 |     2 | Electronics                                        |         6 |   5624.07
 catalog | cs_bill_customer_sk |   2000 |     2 | Home                                               |         3 |    403.37
 catalog | cs_bill_customer_sk |   2000 |     2 | Jewelry                                            |         4 |  10686.17
 catalog | cs_bill_customer_sk |   2000 |     2 | Men                                                |         7 |  20279.29
 catalog | cs_bill_customer_sk |   2000 |     2 | Music                                              |         5 |  11439.97
 catalog | cs_bill_customer_sk |   2000 |     2 | Shoes                                              |         4 |   1797.28
 catalog | cs_bill_customer_sk |   2000 |     2 | Sports                                             |         5 |    623.82
 catalog | cs_bill_customer_sk |   2000 |     2 | Women                                              |         4 |   3723.66
(100 rows)

