 item_sk |   d_date   | web_sales | store_sales | web_cumulative | store_cumulative 
      43 | 2001-02-24 |           |       64.11 |         174.23 |            64.11
      43 | 2001-03-31 |           |       96.29 |         174.23 |            96.29
      43 | 2001-04-08 |    231.49 |             |         231.49 |            96.29
      43 | 2001-04-12 |    245.30 |             |         245.30 |            96.29
      43 | 2001-04-13 |           |      105.72 |         245.30 |           105.72
      43 | 2001-05-18 |           |      114.23 |         245.30 |           114.23
      43 | 2001-06-03 |    301.36 |             |         301.36 |           114.23
      43 | 2001-06-09 |    308.80 |             |         308.80 |           114.23
      43 | 2001-06-10 |           |      121.63 |         308.80 |           121.63
      43 | 2001-06-15 |    430.09 |             |         430.09 |           121.63
      43 | 2001-06-22 |           |      187.69 |         430.09 |           187.69
      43 | 2001-06-23 |           |      229.28 |         430.09 |           229.28
      43 | 2001-06-26 |           |      233.08 |         430.09 |           233.08
      43 | 2001-07-03 |           |      249.65 |         430.09 |           249.65
      43 | 2001-07-30 |    467.98 |      276.92 |         467.98 |           276.92
      43 | 2001-08-07 |           |      276.92 |         467.98 |           276.92
      43 | 2001-08-09 |           |      298.83 |         467.98 |           298.83
      43 | 2001-08-15 |           |      322.33 |         467.98 |           322.33
      43 | 2001-08-25 |           |      350.54 |         467.98 |           350.54
      43 | 2001-08-27 |           |      402.55 |         467.98 |           402.55
      43 | 2001-09-10 |    533.38 |             |         533.38 |           521.34
      43 | 2001-09-11 |    593.29 |             |         593.29 |           521.34
      43 | 2001-09-15 |           |      591.66 |         593.29 |           591.66
      43 | 2001-09-20 |    651.10 |             |         651.10 |           591.66
      43 | 2001-09-21 |           |      623.69 |         651.10 |           623.69
      45 | 2001-01-15 |    206.50 |             |         206.50 |            25.38
      45 | 2001-01-27 |           |       79.24 |         206.50 |            79.24
      45 | 2001-02-02 |           |      155.53 |         206.50 |           155.53
      45 | 2001-02-04 |    375.98 |             |         375.98 |           155.53
      45 | 2001-02-05 |    393.83 |             |         393.83 |           155.53
      45 | 2001-02-08 |    409.06 |             |         409.06 |           155.53
      45 | 2001-02-16 |    467.02 |             |         467.02 |           155.53
      45 | 2001-02-17 |           |      155.53 |         467.02 |           155.53
      45 | 2001-03-24 |           |      187.15 |         467.02 |           187.15
      45 | 2001-04-07 |           |      215.99 |         467.02 |           215.99
      45 | 2001-04-25 |           |      248.69 |         467.02 |           248.69
      45 | 2001-04-29 |           |      256.88 |         467.02 |           256.88
      45 | 2001-05-12 |           |      260.11 |         467.02 |           260.11
      45 | 2001-05-19 |    610.18 |             |         610.18 |           260.11
      45 | 2001-06-08 |           |      305.53 |         610.18 |           305.53
      45 | 2001-07-20 |           |      309.83 |         610.18 |           309.83
      45 | 2001-07-31 |           |      321.92 |         610.18 |           321.92
      45 | 2001-08-01 |           |      327.22 |         610.18 |           327.22
      45 | 2001-08-05 |    632.80 |             |         632.80 |           327.22
      45 | 2001-08-08 |           |      334.30 |         632.80 |           334.30
      45 | 2001-08-21 |           |      413.26 |         632.80 |           413.26
      45 | 2001-08-23 |           |      427.73 |         632.80 |           427.73
(100 rows)

