                     i_category                     |                      i_class                       |                      i_brand                       | s_store_name | s_company_name | d_moy | sum_sales |   avg_monthly_sales   
 Men                                                | pants                                              | exportiimporto #2                                  | bar          | Unknown        |     5 |   1919.66 | 3264.9008333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | eing         | Unknown        |     3 |   2173.71 | 3505.0083333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ation        | Unknown        |     7 |   2056.54 | 3382.5458333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ese          | Unknown        |     4 |   1947.04 | 3272.5216666666666667
 Men                                                | pants                                              | exportiimporto #2                                  | ese          | Unknown        |     5 |   2145.65 | 3468.2283333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ese          | Unknown        |     6 |   1963.52 | 3272.5216666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ese          | Unknown        |     3 |   1969.03 | 3272.5216666666666667
 Men                                                | pants                                              | exportiimporto #2                                  | eing         | Unknown        |     3 |   2356.79 | 3647.4458333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | eing         | Unknown        |     2 |   2338.72 | 3621.9183333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | bar          | Unknown        |     3 |   2015.95 | 3298.8966666666666667
 Men                                                | pants                                              | exportiimporto #2                                  | ese          | Unknown        |     7 |   2186.66 | 3468.2283333333333333
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | eing         | Unknown        |     1 |   2223.66 | 3505.0083333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | able         | Unknown        |     7 |   2231.64 | 3505.4675000000000000
 Shoes                                              | womens                                             | amalgedu pack #2                                   | bar          | Unknown        |     5 |   2328.20 | 3582.1550000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ese          | Unknown        |     1 |   2019.58 | 3272.5216666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ought        | Unknown        |     4 |   2277.77 | 3524.9508333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | able         | Unknown        |     1 |   2123.52 | 3353.7900000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | able         | Unknown        |     7 |   2251.69 | 3475.7516666666666667
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ation        | Unknown        |     4 |   2162.39 | 3382.5458333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | bar          | Unknown        |     7 |   2067.60 | 3264.9008333333333333
 Shoes                                              | womens                                             | amalgedu pack #2                                   | ese          | Unknown        |     3 |   2299.24 | 3494.9025000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | ese          | Unknown        |     1 |   2273.35 | 3468.2283333333333333
 Men                                                | pants                                              | exportiimporto #2                                  | ought        | Unknown        |     4 |   2193.50 | 3388.1425000000000000
 Men                                                | pants                                              | exportiimporto #2                                  | ought        | Unknown        |     7 |   2213.30 | 3388.1425000000000000
 Children                                           | school-uniforms                                    | edu packexporti #2                                 | ese          | Unknown        |     7 |   2115.24 | 3272.5216666666666667
 Men                                                | pants                                              | exportiimporto #2                                  | bar          | Unknown        |     2 |   2110.96 | 3264.9008333333333333
(100 rows)

