                     i_category                     |                      i_class                       |                      i_brand                       | i_product_name | d_year | d_qoy | d_moy | s_store_id |  sumsales   | rk  
 Books                                              | self-help                                          | exportiunivamalg #6                                |                |        |       |       |            |   567312.41 |  43
 Books                                              | self-help                                          | exportiunivamalg #8                                |                |        |       |       |            |   359130.18 |  88
 Books                                              | self-help                                          |                                                    |                |        |       |       |            |  2950156.40 |  12
 Books                                              | sports                                             | edu packunivamalg #10                              |                |        |       |       |            |   552639.49 |  47
 Books                                              | sports                                             | edu packunivamalg #12                              |                |        |       |       |            |   326762.08 |  96
 Books                                              | sports                                             | edu packunivamalg #4                               |                |        |       |       |            |   608216.69 |  34
 Books                                              | sports                                             | edu packunivamalg #6                               |                |        |       |       |            |   591791.64 |  38
 Books                                              | sports                                             | edu packunivamalg #8                               |                |        |       |       |            |   623125.75 |  30
 Books                                              | sports                                             |                                                    |                |        |       |       |            |  3190097.30 |   8
 Books                                              | travel                                             | univunivamalg #10                                  |                |        |       |       |            |   388662.97 |  80
 Books                                              | travel                                             | univunivamalg #12                                  |                |        |       |       |            |   356648.49 |  91
 Books                                              | travel                                             | univunivamalg #2                                   |                |        |       |       |            |   490134.83 |  58
 Books                                              | travel                                             | univunivamalg #4                                   |                |        |       |       |            |   607432.11 |  35
 Books                                              | travel                                             | univunivamalg #8                                   |                |        |       |       |            |   716972.71 |  24
 Books                                              | travel                                             |                                                    |                |        |       |       |            |  3102024.01 |  10
 Books                                              |                                                    |                                                    |                |        |       |       |            | 48434314.04 |   1
(100 rows)

