                     i_category                     |                      i_brand                       |    cc_name    | d_year |   avg_monthly_sales   | sum_sales |  psum   |  nsum   
 Shoes                                              | amalgedu pack #2                                   | NY Metro      |   2001 | 5514.1333333333333333 |   2898.70 | 3789.45 | 3281.09
 Children                                           | amalgexporti #2                                    | Mid Atlantic  |   2001 | 4642.6450000000000000 |   2028.64 | 2631.17 | 1759.65
 Shoes                                              | amalgedu pack #2                                   | NY Metro      |   2001 | 5514.1333333333333333 |   2901.25 | 3010.70 | 2597.09
 Children                                           | importoexporti #2                                  | NY Metro      |   2001 | 4996.4016666666666667 |   2389.39 | 3415.79 | 2320.99
 Children                                           | amalgexporti #2                                    | North Midwest |   2001 | 4689.2416666666666667 |   2082.91 | 2736.23 | 2957.88
 Shoes                                              | exportiedu pack #2                                 | North Midwest |   2001 | 4800.5241666666666667 |   2200.19 | 2850.34 | 3214.56
 Shoes                                              | importoedu pack #2                                 | NY Metro      |   2001 | 5332.2875000000000000 |   2737.25 | 3034.43 | 3735.16
 Women                                              | importoamalg #2                                    | Mid Atlantic  |   2001 | 5572.7075000000000000 |   2978.53 | 3711.80 | 7498.87
 Children                                           | amalgexporti #2                                    | NY Metro      |   2001 | 4694.4683333333333333 |   2103.22 | 3051.80 | 2210.88
 Women                                              | edu packamalg #2                                   | NY Metro      |   2001 | 4996.5650000000000000 |   2407.13 | 2897.07 | 3413.26
 Music                                              | amalgscholar #2                                    | NY Metro      |   2001 | 4743.5200000000000000 |   2156.48 | 3232.34 | 2346.22
 Women                                              | edu packamalg #2                                   | Mid Atlantic  |   2001 | 5533.5233333333333333 |   2946.91 | 2961.50 | 3641.01
 Shoes                                              | edu packedu pack #2                                | NY Metro      |   2001 | 5036.8000000000000000 |   2454.38 | 2839.75 | 3242.31
 Women                                              | edu packamalg #2                                   | Mid Atlantic  |   2001 | 5533.5233333333333333 |   2961.50 | 3908.48 | 2946.91
 Music                                              | edu packscholar #2                                 | NY Metro      |   2001 | 5371.3125000000000000 |   2805.02 | 6515.15 | 3845.32
 Music                                              | edu packscholar #2                                 | NY Metro      |   2001 | 5371.3125000000000000 |   2805.46 | 4231.62 | 6159.15
(100 rows)

