path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=26068.067420670646 total=26069.700668128273 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23760.818234425486
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1743.6 total=39834.99316651025 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=39771.81118644013
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1743.6 total=39838.45204575104 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=39771.81118644013
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=75249.64185026278 total=76125.25903201233 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=76062.07705194221
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=75249.64185026278 total=76128.71791125312 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=76062.07705194221
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=23964.959950981465 total=24030.071931051585 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23966.889950981462
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=23964.959950981465 total=24033.530810292374 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=23966.889950981462
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2743.6 total=24064.258261373558 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=24001.076281303438
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2743.6 total=24067.71714061435 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=24001.076281303438
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1744.495 total=25280.34557037994 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=22741.62307037994
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1744.745 total=22762.078426167864 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=22741.62307037994
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1744.745 total=22763.187305408654 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=22741.62307037994
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1.895 total=5.5886187001061186e+07 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=5.588364827856119e+07
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=5.588366873391698e+07 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=5.588364827856119e+07
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=5.5883669842796214e+07 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,3} inner={4} width=2060 inputtotal=5.588364827856119e+07
path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=26068.067420670646 total=26069.700668128273 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={4} inner={0,1,2,3} width=2060 inputtotal=2308.5066862451617
path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=23760.720734425486 total=25773.615034718838 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={4} inner={0,1,2,3} width=2060 inputtotal=3944.6075
path producer=join.hash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=23757.26057037994 total=26051.65807037994 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={4} inner={0,1,2,3} width=2060 inputtotal=2292.1125
partial producer=join.hash.partial.parallelhash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=22742.18557037994 total=24659.12307037994 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={4} inner={0,1,2,3} width=2060 inputtotal=1916.125
partial producer=join.hash.partial relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=39773.54868644013 total=41691.021186440135 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={4} inner={0,1,2,3} width=2060 inputtotal=1916.125
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2744.495 total=26806.923070379944 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={4} inner={0,1,2,3} width=2060 inputtotal=2292.1125
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2744.745 total=28459.418070379943 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={4} inner={0,1,2,3} width=2060 inputtotal=3944.6075
path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=21376.193448921345 total=21426.610472418703 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19089.820327432906
path producer=join.hash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=20832.305180807838 total=20832.53130580784 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19089.65518080784
partial producer=join.hash.partial relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=1744.745 total=19816.101421511612 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=18073.241046511615
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=19089.45518080784 total=22317.53518080784 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19089.65518080784
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.7383325265 total=89530.47984875776 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=86302.59984875777
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.7383325265 total=89530.47984875776 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=86302.59984875777
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31287.09308395144 total=35750.242826866786 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=32522.362826866793
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.276627144536 total=36506.89746630671 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=33279.017466306716
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.276627144536 total=36506.89746630671 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=33279.017466306716
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=28979.74639770628 total=35454.15719345735 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=32226.277193457357
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=0.625 total=30397.5981572596 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=27169.7181572596
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=74110.91108511176 total=78127.08801106914 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=74899.20801106915
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=74110.91108511176 total=78127.08801106914 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=74899.20801106915
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1000.75 total=22333.963986653052 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19106.08398665305
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=19089.70518080784 total=19093.26522250869 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19089.65518080784
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=19089.70518080784 total=19093.38522250869 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19089.65518080784
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86306.20989045862 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=86302.59984875777
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86306.32989045863 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=86302.59984875777
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86306.20989045862 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=86302.59984875777
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=84268.9883325265 total=86306.32989045863 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=86302.59984875777
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31287.34308395144 total=32525.972868567642 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=32522.362826866793
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31287.34308395144 total=32526.09286856764 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=32522.362826866793
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=33282.627508007565 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=33279.017466306716
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=33282.74750800756 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=33279.017466306716
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=33282.627508007565 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=33279.017466306716
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.526627144536 total=33282.74750800756 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=33279.017466306716
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=28979.99639770628 total=32229.887235158207 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=32226.277193457357
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=28979.99639770628 total=32230.007235158206 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=32226.277193457357
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=0.875 total=27173.328198960444 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=27169.7181572596
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=0.875 total=27173.448198960446 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=27169.7181572596
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=74111.16108511176 total=74902.81805276999 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=74899.20801106915
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=74111.16108511176 total=74902.93805277 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=74899.20801106915
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=74111.16108511176 total=74902.81805276999 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=74899.20801106915
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=74111.16108511176 total=74902.93805277 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=74899.20801106915
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1001 total=19109.694028353897 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19106.08398665305
path producer=nestloop.index relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1001 total=19109.8140283539 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=19106.08398665305
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1.895 total=20243.981046511617 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=18073.241046511615
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=18074.44439374523 disabled=0 pathkeys=0 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=18073.241046511615
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=18074.47439374523 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=18073.241046511615
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1.895 total=232707.36131797847 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=230184.24131797848
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=230186.24689670117 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=230184.24131797848
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=230186.30689670116 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=230184.24131797848
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=1.895 total=5.5885852088402376e+07 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=5.5883681348402366e+07
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=5.58836825517496e+07 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=5.5883681348402366e+07
partial producer=join.nestloop.partial relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=2.145 total=5.58836825817496e+07 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,2,4} inner={3} width=2060 inputtotal=5.5883681348402366e+07
path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=21376.193448921345 total=21426.610472418703 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={3} inner={0,1,2,4} width=2060 inputtotal=2311.565621488444
path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=19090.047827432903 total=21861.23804863381 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={3} inner={0,1,2,4} width=2060 inputtotal=2746.25
path producer=join.hash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=19089.76768080784 total=20744.54518080784 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={3} inner={0,1,2,4} width=2060 inputtotal=1617
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=19089.45518080784 total=22292.38768080784 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={3} inner={0,1,2,4} width=2060 inputtotal=1617
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=19089.70518080784 total=23421.63768080784 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={3} inner={0,1,2,4} width=2060 inputtotal=2746.25
path producer=mergejoin relids={0,1,2,3,4} kind=4 reqouter=- rows=1 startup=74112.06574066775 total=74897.63272248802 disabled=0 pathkeys=1 verdict=accepted jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=18822.75380584754
path producer=join.hash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=62517.375768369486 total=62517.83101836949 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=18822.20826836949
partial producer=join.hash.partial.parallelhash relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=26102.34379032258 total=43917.87117259439 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=17817.276507271
partial producer=join.hash.partial relids={0,1,2,3,4} kind=3 reqouter=- rows=1 startup=43697.3325 total=61512.859882271805 disabled=0 pathkeys=0 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=17817.276507271803
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=18821.813268369486 total=121424.64576836949 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=18822.20826836949
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=22267.621601687726 total=124894.02234914535 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=22291.58484914535
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31265.767019194725 total=135326.73885365127 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=32724.301353651274
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31265.767019194725 total=135326.73885365127 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=32724.301353651274
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=19960.274915442566 total=124597.93671573592 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=21995.499215735912
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=31286.96808395144 total=134327.57743902612 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=31725.13993902612
path producer=join.nestloop relids={0,1,2,3,4} kind=5 reqouter=- rows=1 startup=29002.151627144536 total=135084.23207846604 disabled=0 pathkeys=1 verdict=dominated jointype=inner outer={0,1,3,4} inner={2} width=2060 inputtotal=32481.794578466044
