date,directory,loc
2026-05-18,internal/server,12790
2026-05-18,internal/sqlstate,552
2026-05-18,internal/storage,6004
2026-05-18,internal/testport,8736
2026-05-18,internal/testutil,3559
2026-05-18,internal/vacuum,388
2026-05-18,internal/wal,15734
2026-05-25,TOTAL,200517
2026-05-25,.ralph,717
2026-05-25,bench/tpch,693
2026-05-25,cmd/diag,56
2026-05-25,cmd/gen-isolation-coverage,124
2026-05-25,cmd/gen-oracle-inventory,66
2026-05-25,cmd/gen-oracle-port-status,44
2026-05-25,cmd/gen-oracle-report,130
2026-05-25,cmd/gen-pg-operator-data,317
2026-05-25,cmd/gen-pg-proc-data,333
2026-05-25,cmd/gen-pg-type-data,290
2026-05-25,cmd/gen-regress-coverage,248
2026-05-25,cmd/gen-sqlstate,171
2026-05-25,cmd/gen-tap-coverage,217
2026-05-25,cmd/goopg,1383
2026-05-25,cmd/plan-snapshot,486
2026-05-25,cmd/tpch-runner,251
2026-05-25,cmd/validate-ralph-state,439
2026-05-25,internal/access,4486
2026-05-25,internal/activity,847
2026-05-25,internal/aio,1662
2026-05-25,internal/analyzer,2287
2026-05-25,internal/auth,1670
2026-05-25,internal/autovacuum,170
2026-05-25,internal/catalog,5047
2026-05-25,internal/config,1604
2026-05-25,internal/control,685
2026-05-25,internal/executor,42785
2026-05-25,internal/initdb,34244
2026-05-25,internal/lockmgr,912
2026-05-25,internal/mctx,466
2026-05-25,internal/mvcc,4512
2026-05-25,internal/parser,12562
2026-05-25,internal/planner,18242
2026-05-25,internal/plpgsql,1364
2026-05-25,internal/protocol,940
2026-05-25,internal/runtimeshim,310
2026-05-25,internal/server,14466
2026-05-25,internal/sqlstate,552
2026-05-25,internal/stats,167
2026-05-25,internal/storage,7250
2026-05-25,internal/testport,9616
2026-05-25,internal/testutil,3602
2026-05-25,internal/vacuum,388
2026-05-25,internal/wal,23716
2026-06-01,TOTAL,216350
2026-06-01,.ralph,717
2026-06-01,bench/tpch,693
2026-06-01,cmd/diag,56
2026-06-01,cmd/gen-isolation-coverage,124
2026-06-01,cmd/gen-oracle-inventory,66
2026-06-01,cmd/gen-oracle-port-status,44
2026-06-01,cmd/gen-oracle-report,130
2026-06-01,cmd/gen-pg-operator-data,317
2026-06-01,cmd/gen-pg-proc-data,333
2026-06-01,cmd/gen-pg-type-data,290
2026-06-01,cmd/gen-regress-coverage,248
2026-06-01,cmd/gen-sqlstate,171
2026-06-01,cmd/gen-tap-coverage,217
2026-06-01,cmd/goopg,1383
2026-06-01,cmd/plan-snapshot,486
2026-06-01,cmd/tpch-runner,251
2026-06-01,cmd/validate-ralph-state,447
2026-06-01,internal/access,4517
2026-06-01,internal/activity,847
2026-06-01,internal/aio,1662
2026-06-01,internal/analyzer,2536
2026-06-01,internal/auth,1670
2026-06-01,internal/autovacuum,170
2026-06-01,internal/catalog,5264
2026-06-01,internal/config,1690
2026-06-01,internal/control,685
2026-06-01,internal/executor,51279
2026-06-01,internal/initdb,34296
2026-06-01,internal/lockmgr,912
2026-06-01,internal/mctx,466
2026-06-01,internal/mvcc,4545
2026-06-01,internal/parser,15061
2026-06-01,internal/planner,21328
2026-06-01,internal/plpgsql,1479
2026-06-01,internal/protocol,940
2026-06-01,internal/runtimeshim,310
2026-06-01,internal/server,14699
2026-06-01,internal/sqlstate,552
2026-06-01,internal/stats,167
2026-06-01,internal/storage,7282
2026-06-01,internal/testport,10114
2026-06-01,internal/testutil,3621
2026-06-01,internal/vacuum,388
2026-06-01,internal/wal,23897
2026-06-08,TOTAL,229404
2026-06-08,.ralph,717
2026-06-08,bench/tpch,693
2026-06-08,cmd/diag,56
2026-06-08,cmd/gen-isolation-coverage,124
2026-06-08,cmd/gen-oracle-inventory,66
2026-06-08,cmd/gen-oracle-port-status,44
2026-06-08,cmd/gen-oracle-report,130
2026-06-08,cmd/gen-pg-operator-data,317
2026-06-08,cmd/gen-pg-proc-data,333
2026-06-08,cmd/gen-pg-type-data,290
2026-06-08,cmd/gen-regress-coverage,248
2026-06-08,cmd/gen-sqlstate,171
2026-06-08,cmd/gen-tap-coverage,217
2026-06-08,cmd/goopg,1383
2026-06-08,cmd/plan-snapshot,486
2026-06-08,cmd/tpch-runner,251
2026-06-08,cmd/validate-ralph-state,447
2026-06-08,internal/access,4517
2026-06-08,internal/activity,847
2026-06-08,internal/aio,1662
2026-06-08,internal/analyzer,2570
2026-06-08,internal/auth,1670
2026-06-08,internal/autovacuum,170
2026-06-08,internal/catalog,6982
2026-06-08,internal/config,1695
2026-06-08,internal/control,685
2026-06-08,internal/executor,59462
2026-06-08,internal/initdb,34430
2026-06-08,internal/lockmgr,910
2026-06-08,internal/mctx,466
2026-06-08,internal/mvcc,4545
2026-06-08,internal/parser,16454
2026-06-08,internal/planner,22169
2026-06-08,internal/plpgsql,1507
2026-06-08,internal/protocol,940
2026-06-08,internal/runtimeshim,310
2026-06-08,internal/server,14973
2026-06-08,internal/sqlstate,552
2026-06-08,internal/stats,167
2026-06-08,internal/storage,7282
2026-06-08,internal/testport,10560
2026-06-08,internal/testutil,3621
2026-06-08,internal/vacuum,388
2026-06-08,internal/wal,23897
2026-06-15,TOTAL,252577
2026-06-15,.ralph,717
2026-06-15,bench/tpch,693
2026-06-15,cmd/diag,56
2026-06-15,cmd/gen-isolation-coverage,124
2026-06-15,cmd/gen-oracle-inventory,66
2026-06-15,cmd/gen-oracle-port-status,44
2026-06-15,cmd/gen-oracle-report,130
2026-06-15,cmd/gen-pg-operator-data,317
2026-06-15,cmd/gen-pg-proc-data,333
2026-06-15,cmd/gen-pg-type-data,290
2026-06-15,cmd/gen-regress-coverage,248
2026-06-15,cmd/gen-sqlstate,171
2026-06-15,cmd/gen-tap-coverage,217
2026-06-15,cmd/goopg,1719
2026-06-15,cmd/parsetest,20
2026-06-15,cmd/plan-snapshot,486
2026-06-15,cmd/tpch-runner,251
2026-06-15,cmd/validate-ralph-state,542
2026-06-15,internal/access,4882
2026-06-15,internal/activity,871
2026-06-15,internal/aio,1662
2026-06-15,internal/amcheck,4040
2026-06-15,internal/analyzer,2832
2026-06-15,internal/auth,1673
2026-06-15,internal/autovacuum,170
2026-06-15,internal/catalog,7686
2026-06-15,internal/config,1887
2026-06-15,internal/control,697
2026-06-15,internal/executor,64508
2026-06-15,internal/initdb,37101
2026-06-15,internal/lockmgr,910
2026-06-15,internal/mctx,466
2026-06-15,internal/mvcc,6938
2026-06-15,internal/parser,17511
2026-06-15,internal/planner,23008
2026-06-15,internal/plpgsql,1510
2026-06-15,internal/protocol,940
2026-06-15,internal/runtimeshim,310
2026-06-15,internal/server,15963
2026-06-15,internal/sqlstate,552
2026-06-15,internal/stats,167
2026-06-15,internal/storage,7691
2026-06-15,internal/testport,13414
2026-06-15,internal/testutil,4185
2026-06-15,internal/vacuum,388
2026-06-15,internal/wal,24191
2026-06-22,TOTAL,278048
2026-06-22,.ralph,717
2026-06-22,bench/tpch,693
2026-06-22,cmd/diag,56
2026-06-22,cmd/gen-isolation-coverage,124
2026-06-22,cmd/gen-oracle-inventory,150
2026-06-22,cmd/gen-oracle-port-status,44
2026-06-22,cmd/gen-oracle-report,130
2026-06-22,cmd/gen-pg-operator-data,317
2026-06-22,cmd/gen-pg-proc-data,333
2026-06-22,cmd/gen-pg-type-data,290
2026-06-22,cmd/gen-regress-coverage,248
2026-06-22,cmd/gen-sqlstate,171
2026-06-22,cmd/gen-tap-coverage,217
2026-06-22,cmd/goopg,1730
2026-06-22,cmd/parsetest,20
2026-06-22,cmd/plan-snapshot,486
2026-06-22,cmd/tpch-runner,251
2026-06-22,cmd/validate-ralph-state,542
2026-06-22,internal/access,4882
2026-06-22,internal/activity,871
2026-06-22,internal/aio,1662
2026-06-22,internal/amcheck,4040
2026-06-22,internal/analyzer,2857
2026-06-22,internal/auth,1673
2026-06-22,internal/autovacuum,172
2026-06-22,internal/catalog,10511
2026-06-22,internal/config,1982
2026-06-22,internal/control,697
2026-06-22,internal/executor,75952
2026-06-22,internal/initdb,37601
2026-06-22,internal/lockmgr,1326
2026-06-22,internal/lockwait,24
2026-06-22,internal/mctx,466
2026-06-22,internal/multixact,969
2026-06-22,internal/mvcc,7966
2026-06-22,internal/parser,20132
2026-06-22,internal/planner,23558
2026-06-22,internal/plpgsql,1550
2026-06-22,internal/protocol,940
2026-06-22,internal/runtimeshim,310
2026-06-22,internal/server,16069
2026-06-22,internal/sqlstate,552
2026-06-22,internal/stats,167
2026-06-22,internal/storage,8090
2026-06-22,internal/testport,17689
2026-06-22,internal/testutil,4185
2026-06-22,internal/vacuum,378
2026-06-22,internal/wal,24258
2026-06-29,TOTAL,292609
2026-06-29,.ralph,717
2026-06-29,bench/tpch,693
2026-06-29,cmd/diag,56
2026-06-29,cmd/gen-isolation-coverage,124
2026-06-29,cmd/gen-oracle-inventory,150
2026-06-29,cmd/gen-oracle-port-status,44
2026-06-29,cmd/gen-oracle-report,130
2026-06-29,cmd/gen-pg-operator-data,317
2026-06-29,cmd/gen-pg-proc-data,333
2026-06-29,cmd/gen-pg-type-data,290
2026-06-29,cmd/gen-regress-coverage,248
2026-06-29,cmd/gen-sqlstate,171
2026-06-29,cmd/gen-tap-coverage,217
2026-06-29,cmd/goopg,1762
2026-06-29,cmd/parsetest,20
2026-06-29,cmd/plan-snapshot,486
2026-06-29,cmd/tpch-runner,251
2026-06-29,cmd/validate-ralph-state,542
2026-06-29,internal/access,4884
2026-06-29,internal/activity,882
2026-06-29,internal/aio,1662
2026-06-29,internal/amcheck,4040
2026-06-29,internal/analyzer,2862
2026-06-29,internal/auth,1673
2026-06-29,internal/autovacuum,172
2026-06-29,internal/catalog,11686
2026-06-29,internal/config,2093
2026-06-29,internal/control,697
2026-06-29,internal/executor,84216
2026-06-29,internal/initdb,37606
2026-06-29,internal/lockmgr,1487
2026-06-29,internal/lockwait,24
2026-06-29,internal/mctx,466
2026-06-29,internal/multixact,969
2026-06-29,internal/mvcc,8740
2026-06-29,internal/parser,20892
2026-06-29,internal/planner,23866
2026-06-29,internal/plpgsql,1778
2026-06-29,internal/protocol,950
2026-06-29,internal/runtimeshim,310
2026-06-29,internal/server,17242
2026-06-29,internal/sqlstate,552
2026-06-29,internal/stats,167
2026-06-29,internal/storage,8119
2026-06-29,internal/testport,19198
2026-06-29,internal/testutil,4185
2026-06-29,internal/vacuum,382
2026-06-29,internal/wal,24258
