# Parity goldens — the cutover's oracle; see goldens_test.go.
# Regenerate: GOOPG_UPDATE_GOLDENS=1 go test ./internal/sqlparser/
# 742 statements
ABORT	RollbackStmt{}
ALTER INDEX i ALTER COLUMN 1 SET (n_distinct = 1)	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="i"},Actions=[AlterTableAction{Kind=13,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="1",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER INDEX i ALTER COLUMN 1 SET STATISTICS 100	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="i"},Actions=[AlterTableAction{Kind=18,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="100",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="1",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER INDEX i ALTER COLUMN c SET STATISTICS 10	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="i"},Actions=[AlterTableAction{Kind=18,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="10",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="c",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER INDEX i ATTACH PARTITION child	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="i"},Actions=[AlterTableAction{Kind=26,ConstraintName="i",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="child",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER INDEX i RENAME TO j	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="i"},Actions=[AlterTableAction{Kind=9,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="j",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride="ALTER INDEX"}
ALTER INDEX i SET (fastupdate = off)	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="i"},Actions=[AlterTableAction{Kind=27,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER INDEX i SET TABLESPACE ts	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="i"},Actions=[AlterTableAction{Kind=42,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="ts",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride="ALTER INDEX"}
ALTER INDEX s.i RENAME TO j	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="s",Name="i"},Actions=[AlterTableAction{Kind=9,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="j",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride="ALTER INDEX"}
ALTER MATERIALIZED VIEW mv SET SCHEMA s	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="mv"},Actions=∅,Only=false,SetSchema="s",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride="ALTER MATERIALIZED VIEW"}
ALTER MATERIALIZED VIEW s.mv SET SCHEMA t	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="s",Name="mv"},Actions=∅,Only=false,SetSchema="t",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride="ALTER MATERIALIZED VIEW"}
ALTER SEQUENCE IF EXISTS s INCREMENT BY 2 NO MINVALUE NO MAXVALUE NO CYCLE	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=true,DataType="",Increment=2,MinValue=∅,NoMinValue=true,MaxValue=∅,NoMaxValue=true,StartWith=∅,Restart=false,RestartWith=∅,Cache=∅,Cycle=false,NoCycle=true,OwnedBy="",ClearOwnedBy=false,SetLogged=""}
ALTER SEQUENCE s AS bigint START WITH 3 CACHE 4 CYCLE OWNED BY t.c	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=false,DataType="bigint",Increment=∅,MinValue=∅,NoMinValue=false,MaxValue=∅,NoMaxValue=false,StartWith=3,Restart=false,RestartWith=∅,Cache=4,Cycle=true,NoCycle=false,OwnedBy="t.c",ClearOwnedBy=false,SetLogged=""}
ALTER SEQUENCE s MINVALUE 1 MAXVALUE 9	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=false,DataType="",Increment=∅,MinValue=1,NoMinValue=false,MaxValue=9,NoMaxValue=false,StartWith=∅,Restart=false,RestartWith=∅,Cache=∅,Cycle=false,NoCycle=false,OwnedBy="",ClearOwnedBy=false,SetLogged=""}
ALTER SEQUENCE s OWNED BY NONE	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=false,DataType="",Increment=∅,MinValue=∅,NoMinValue=false,MaxValue=∅,NoMaxValue=false,StartWith=∅,Restart=false,RestartWith=∅,Cache=∅,Cycle=false,NoCycle=false,OwnedBy="",ClearOwnedBy=true,SetLogged=""}
ALTER SEQUENCE s RESTART	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=false,DataType="",Increment=∅,MinValue=∅,NoMinValue=false,MaxValue=∅,NoMaxValue=false,StartWith=∅,Restart=true,RestartWith=∅,Cache=∅,Cycle=false,NoCycle=false,OwnedBy="",ClearOwnedBy=false,SetLogged=""}
ALTER SEQUENCE s RESTART WITH 5	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=false,DataType="",Increment=∅,MinValue=∅,NoMinValue=false,MaxValue=∅,NoMaxValue=false,StartWith=∅,Restart=false,RestartWith=5,Cache=∅,Cycle=false,NoCycle=false,OwnedBy="",ClearOwnedBy=false,SetLogged=""}
ALTER SEQUENCE s SET LOGGED	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=false,DataType="",Increment=∅,MinValue=∅,NoMinValue=false,MaxValue=∅,NoMaxValue=false,StartWith=∅,Restart=false,RestartWith=∅,Cache=∅,Cycle=false,NoCycle=false,OwnedBy="",ClearOwnedBy=false,SetLogged="logged"}
ALTER SEQUENCE s SET UNLOGGED	AlterSequenceStmt{Name=ObjectName{Schema="",Name="s"},IfExists=false,DataType="",Increment=∅,MinValue=∅,NoMinValue=false,MaxValue=∅,NoMaxValue=false,StartWith=∅,Restart=false,RestartWith=∅,Cache=∅,Cycle=false,NoCycle=false,OwnedBy="",ClearOwnedBy=false,SetLogged="unlogged"}
