query	bindable	limit	sort_est_rows	sort_actual_input_rows	sort_output_rows	width	sort_ms	query_ms	sort_method	space_kb	sort_child_node
Q50	direct	100	1	6	6	332	0.0	691	quicksort	5	HashAggregate
Q66	direct	100	21	5	5	1352	0.0	7641	quicksort	11	HashAggregate
Q83	direct	100	25	3	3	108	0.0	2592	quicksort	1	Hash Join
Q39	none		1	2	2	280	0.3	4643	quicksort	2	Hash Join
Q64	none		1	2	2	944	0.0	18958	quicksort	4	Hash Join
Q94	none	100	1	2	2	2000	774.1	2924	quicksort	11	Hash Anti Join
Q16	direct	100	1	1	1	72	0.0	13580	quicksort	1	Aggregate
Q41	none	100	66	1	1	32	0.0	8824	quicksort	1	Unique
Q61	direct	100	1	1	1	64	0.0	2593	quicksort	1	Nested Loop
Q73	none		1	1	1	340	534.0	10198	quicksort	2	Nested Loop
Q90	direct	100	1	1	1	16	0.0	4781	quicksort	1	Nested Loop
Q91	none		1	1	1	192	0.0	3024	quicksort	1	HashAggregate
Q92	direct	100	1	1	1	32	0.0	4846	quicksort	1	Aggregate
Q94	direct	100	1	1	1	72	0.0	2924	quicksort	1	Aggregate
Q95	direct	100	1	1	1	72	0.0	14953	quicksort	1	Aggregate
Q96	direct	100	1	1	1	8	0.0	7151	quicksort	1	Aggregate
Q2	none		111			456		10666	quicksort	877	Hash Join
Q4	direct	100	1	0	0	1752	0.0	0	quicksort	0	Hash Join
Q8	direct	100	12	0	0	64	0.0	0	quicksort	0	HashAggregate
Q10	direct	100	70	0	0	152	0.0	0	quicksort	0	HashAggregate
Q17	direct	100	1	0	0	312	0.0	0	quicksort	0	HashAggregate
Q23	direct	100	18	0	0	96	0.0	0	quicksort	0	Append
Q24	none		1	0	0	128	0.0	0	quicksort	0	HashAggregate
Q24	none		1	0	0	128	0.0	0	quicksort	0	HashAggregate
Q25	direct	100	1	0	0	224	0.0	0	quicksort	0	HashAggregate
Q29	direct	100	1	0	0	140	0.0	0	quicksort	0	HashAggregate
Q37	direct	100	85	0	0	96	0.0	0	quicksort	0	HashAggregate
Q54	direct	100	1	0	0	12	0.0	0	quicksort	0	HashAggregate
Q58	direct	100	1	0	0	192	0.0	0	quicksort	0	Hash Join
Q82	direct	100	85	0	0	96	0.0	0	quicksort	0	HashAggregate
Q84	descent	100	314			1252		667	quicksort	13	Hash Join
Q85	direct	100	1	0	0	128	0.0	0	quicksort	0	HashAggregate
Q93	direct	100	41131	0	0	36	0.0	0	quicksort	0	HashAggregate
